Municipality,Longitude,Latitude
Gallingertown,-75.07,45.01
Gallivan,-108.83,52.75
Gallix,-66.61,50.13
Galloway,-115.21,49.38
Galt,-80.31,43.35
Galts Corner,-76.86,44.17
Galway-Cavendish and Harvey,-78.43,44.68
Gambier Harbour,-123.43,49.44
Gambler,-101.38,50.59
Gambler 63,-101.38,50.59
Gamebridge,-79.15,44.49
Gamebridge Beach,-79.19,44.5
Gameland,-94.4,48.83
Gander Island 14,-129.41,52.67
Gang Ranch,-122.33,51.55
Gannon Beach,-78.44,44.46
Gannon Road,-60.25,46.22
Gannon Village,-78.45,44.47
Garafraxa Woods,-80.13,43.89
Garden 2,-124.04,51.44
Garden 2A,-124.05,51.43
Garden Hill First Nation,-94.64,53.87
Garden Lots,-64.28,44.36
Garden of Eden,-62.31,45.43
Garden River 14,-84.1,46.55
Garden Road,-65.84,46.94
Gardenton,-96.69,49.08
Gardenville,-77.58,44.03
Gardiner,-81.02,49.31
Gardiner Heights,-104.54,50.43
Gardiner Mines,-60.04,46.2
Gardiner Park,-104.55,50.44
Gardner Creek,-65.74,45.26
Gardners Mills,-65.97,44.02
Gargamelle,-57.35,50.69
Gargantua,-84.97,47.56
Garibaldi Estates,-123.13,49.73
Gariepy,-113.62,53.49
Garland,-100.45,51.65
Garlands Crossing,-64.1,44.97
Garneau,-113.51,53.52
Garners Corners,-79.95,43.2
Garnet,-80.08,42.92
Garnet Valley,-119.7,49.64
Garnett Settlement,-65.84,45.3
Garnier,-75.47,46.64
Garnish,-55.33,47.21
Garretton,-75.66,44.83
Garrick,-104.33,53.49
Garrick Corners,-72.83,45.11
Garryowen,-80.8,44.62
Garside Industrial,-113.58,53.56
Garson,-96.7,50.07
Garson Lake,-109.95,56.31
Gascons,-64.85,48.19
Gascons-Est,-64.8,48.21
Gascons-Ouest,-64.89,48.19
Gaskiers-Point La Haye,-53.6,46.88
Gasline,-79.18,42.89
Gaspé Harbour,-64.47,48.82
Gaspé-Ouest,-64.52,48.82
Gaspereau,-64.95,47.59
Gaspereau Forks,-65.85,46.23
Gaspereaux Lake,-62.05,45.55
Gatchell,-81.02,46.47
Gates Mountain,-65.08,44.96
Gateway,-121.21,51.66
Gaud Corners,-78.7,43.93
Gaulin,-71.79,45.36
Gauthier,-79.82,48.14
Gautreau Village,-64.64,45.97
Gauvin,-66.03,48.2
Gauvreau,-64.99,47.53
Gavelton,-65.94,43.89
Gayhurst-Partie-Sud-Est,-70.73,45.73
Gays River,-63.35,45.03
Gaythorne,-65.07,47.36
Gaytons,-64.55,46.03
Gelert,-78.62,44.89
Gellatly,-119.61,49.81
Gendron,-73.13,46.42
Geneva Park,-79.36,44.67
Genier,-81.02,49.16
Geoffroy,-79.22,47.49
Georgefield,-63.55,45.2
Georges Lake,-58.18,48.73
Georges River,-60.31,46.21
Georgetown Royalty,-62.56,46.2
Georgeville,-62.01,45.82
Georgian Bay,-79.84,44.99
Georgian Bluffs,-81.02,44.65
Georgian Heights,-80.0,44.6
Georgian Inlet,-80.51,45.62
Georgian Sands Beach,-80.07,44.73
Georgina Beach,-79.98,44.63
Georgina Island,-79.31,44.37
Geraldton Training Area,-86.95,49.75
Gérin,-73.11,46.27
German Landing,-77.67,44.25
German Mills,-79.36,43.81
German Settlement,-77.45,45.52
Germania,-79.22,44.95
Germanicus,-77.17,45.61
Germantown,-64.81,45.66
Gerrow's Beach,-78.92,44.12
Gesgapegiag,-65.93,48.2
Gesto,-82.87,42.13
Ghost Lake,-114.76,51.2
Ghost River,-91.45,50.17
Giants Glen,-66.78,46.29
Giants Lake,-61.86,45.38
Gibbon,-65.54,45.86
Gibbs,-104.86,50.9
Giberson Settlement,-67.56,46.54
Gibraltar,-80.33,44.43
Gibson,-79.97,44.6
Gibson Creek,-117.66,49.36
Gibson Woods,-64.5,45.13
Giffard,-71.2,46.85
Gift Lake Metis Settlement,-115.8,55.89
Gignac,-65.14,48.06
Gilbert Mills,-77.24,44.04
Gilbert Mountain,-64.22,45.51
Gilberts Corner,-64.56,46.23
Gilberts Cove,-65.94,44.48
Gilbertville,-80.48,42.82
Gilchrist,-79.57,44.46
Gilchrist Bay,-78.09,44.53
Gildale,-80.52,44.06
Gilford,-79.54,44.22
Gilford Beach,-79.53,44.22
Gill,-79.98,42.93
Gill Island 2,-129.3,53.64
Gillams,-58.06,49.01
Gillard's Cove,-54.75,49.61
Gillespie Settlement,-67.75,46.95
Gillesport,-54.74,49.66
Gillies,-84.72,47.815
Gillies Corners,-76.09,45.0
Gillies Hill,-81.18,44.32
Gillies Lake,-81.32,45.03
Gillis Cove,-61.05,45.91
Gillis Lake,-60.4,46.05
Gillis Point,-60.8,46.0
Gillson's Point,-78.9,44.2
Gilman Corner,-72.66,45.19
Gilmans Corner,-67.13,45.2
Gilmour,-77.61,44.82
Gilpin,-118.31,49.0
Giltoyees 13,-129.01,53.89
Gin Cove,-53.81,48.19
Ginoogaming First Nation,-86.51,49.73
Girard Industrial,-113.43,53.51
Girouardville,-64.73,46.48
Giroux,-96.56,49.57
Girvin,-105.91,51.15
Gitandoiks 75,-129.22,54.31
Gitandoiks 76,-129.2,54.31
Gitanmaax 1,-127.68,55.26
Gitanyow 1,-128.06,55.26
Gitanyow 2,-128.03,55.16
Gitanyow 3A,-128.1,55.31
Gitsegukla 1,-127.82,55.09
Gitsegukla Logging 3,-127.83,55.07
Gitwangak 1,-128.06,55.1
Gitwangak 2,-127.99,55.09
Glabar Park,-75.76,45.36
Glace Bay,-59.95,46.19
Glade,-117.55,49.4
Gladeside,-64.88,46.3
Gladmar,-104.45,49.16
Gladmer,-106.65,52.1
Gladue Lake 105B,-108.24,54.45
Gladwyn,-67.53,46.76
Glamis,-107.83,51.38
Glammis,-81.38,44.2
Glamorgan,-114.15,51.01
Glandine,-78.8,44.31
Glanford Station,-79.88,43.13
Glanmire,-77.68,44.75
Glanworth,-81.19,42.86
Glascott,-80.77,44.31
Glasgow,-79.485,43.935
Glasgow Point,-61.09,45.56
Glasgow Station,-76.51,45.44
Glasnevin,-105.05,49.55
Glass,-96.72,49.88
Glassburn,-61.76,45.5
Glastonbury,-77.12,44.73
Glaude,-64.41,46.19
Glazier Creek 12,-122.46,49.85
Gleason Road,-67.41,45.31
Glebe Farm 40B,-80.23,43.13
Glen,-80.69,44.19
Glen Agar,-79.55,43.66
Glen Alda,-77.94,44.84
Glen Allan,-80.7,43.65
Glen Almond,-75.48,45.7
Glen Andrew,-74.51,45.45
Glen Bay,-96.98,50.76
Glen Becker,-75.21,44.93
Glen Buell,-75.84,44.63
Glen Cairn,-64.85,46.11
Glen Cairn Woods,-81.2,42.96
Glen Cross,-80.01,43.99
Glen Echo,-79.46,44.98
Glen Eden,-83.11,42.05
Glen Elbe,-75.89,44.63
Glen Falloch,-74.71,45.11
Glen Grove,-79.07,43.83
Glen Harbour,-105.09,50.88
Glen Haven,-63.91,44.64
Glen Huron,-80.17,44.35
Glen Kerr,-107.01,50.6
Glen Leven,-79.6,43.52
Glen Levit,-66.85,47.95
Glen Major,-79.07,44.01
Glen Margaret,-63.91,44.57
Glen Meyer,-80.67,42.73
Glen Miller,-77.58,44.14
Glen Moir,-63.68,44.71
Glen Morris,-78.155,43.925
Glen Nevis,-74.48,45.27
Glen Norman,-74.54,45.29
Glen Oak,-81.6,42.88
Glen Orchard,-79.63,45.09
Glen Park,-66.01,45.31
Glen Road,-62.01,45.54
Glen Ross,-77.59,44.26
Glen Sandfield,-74.53,45.4
Glen Smail,-75.51,44.81
Glen Stewart,-75.43,44.91
Glen Sutton,-72.54,45.04
Glen Tay,-76.3,44.88
Glen Tosh,-60.63,46.16
Glen Valley,-122.46,49.16
Glen Vowell,-127.67,55.31
Glen Walter,-74.63,45.03
Glen Williams,-79.92,43.66
Glenannan,-81.25,43.92
Glenarm,-78.88,44.48
Glenbain,-107.01,49.85
Glenbank,-117.8,50.25
Glenbrook,-114.15,51.03
Glenbrooke North,-122.91,49.21
Glenburn,-75.07,45.48
Glenburnie,-76.49,44.32
Glenburnie-Birchy Head-Shoal Brook,-57.9,49.45
Glenbush,-108.0,53.25
Glencairn,-99.3,50.65
Glencairn Village,-104.54,50.45
Glencoe Station,-61.44,45.99
Glendale,-114.15,51.03
Glendale Beach,-82.06,43.12
Glendon Cove,-54.23,47.7
Glendower,-76.63,44.56
Glendyer,-61.34,46.08
Gleneagle,-75.8,45.53
Gleneagles,-123.28,49.36
Gleneden,-119.35,50.73
Glenelg,-62.07,45.25
Glenelg Centre,-80.69,44.23
Glenelm Park,-104.56,50.45
Glenevis,-114.51,53.78
Glenfield,-77.18,45.11
Glengarry,-113.48,53.6
Glengarry Station,-62.77,45.42
Glen-gla-ouch 5,-127.62,50.83
Glenholme,-63.53,45.39
Glenkeen,-61.49,45.42
Glenlea,-97.13,49.63
Glenlee,-80.77,43.88
Glenmerry,-117.66,49.1
Glenmont,-64.49,45.18
Glenmore,-123.12,49.36
Glenmount,-79.03,45.21
Glenora,-113.55,53.55
Glenora Falls,-61.36,46.11
Glenorchy,-79.76,43.47
Glenrest Beach,-79.25,44.56
Glenridge,-79.985,43.005
Glenrosa,-119.66,49.85
Glenroy,-74.64,45.23
Glenshee,-80.48,42.76
Glenside,-106.8,51.45
Glentworth,-106.67,49.42
Glenvale,-65.23,45.93
Glenview,-76.1,44.95
Glenview Heights,-74.71,45.02
Glenvilla Court,-52.71,47.61
Glenville,-62.625,45.92
Glenwater,-89.78,48.54
Glenway Village,-78.61,44.45
Glenwood Beach,-79.5,44.27
Glenwood Heights,-79.99,43.27
Glenwood Park,-79.8,43.34
Gleyka 6,-127.03,50.96
Glidden,-109.16,51.23
Glines Corner,-72.18,45.01
Glooscap 35,-64.23,45.04
Gloria Village,-73.17,45.04
Gloucester,-75.63,45.35
Gloucester Glen,-75.69,45.29
Gloucester Junction Range and Training Area,-65.65,47.55
Gnadenfeld,-97.52,49.07
Gnadenthal,-97.79,49.09
Go Home,-79.93,44.99
Gobles,-80.56,43.15
Godfrey,-76.67,44.54
Godmanchester,-74.25,45.08
Godolphin,-77.89,44.28
God's Lake 23,-94.58,54.53
God's Lake Southeast Of Community,-94.42,54.52
God's River 86A,-94.05,54.83
Goffs,-63.48,44.88
Gold Bar,-113.4,53.54
Gold Bridge,-122.83,50.85
Gold Centre,-81.27,48.47
Gold Eagle,-108.26,52.75
Gold River 21,-64.34,44.55
Gold Rock,-92.7,49.43
Goldboro,-61.65,45.18
Golden Beach,-79.39,45.03
Golden City,-81.16,48.49
Golden Days,-114.06,53.05
Golden Grove,-65.96,45.35
Golden Hill,-74.6,45.5
Golden Valley,-79.79,45.92
Goldenville,-62.01,45.12
Goldfield,-75.13,45.12
Goldpines,-93.18,50.63
Goldsmith,-82.52,42.12
Goldstone,-80.59,43.72
Goldstream,-123.55,48.45
Goldstream 13,-123.54,48.48
Goldwin,-76.64,45.77
Golf Side Gardens,-75.7,44.57
Golspie,-80.83,43.13
Gondola Point,-65.99,45.43
Gonor,-96.94,50.06
Good Corner,-67.75,46.5
Good Spirit Acres,-102.67,51.48
Goodlands,-100.6,49.09
Goodlow,-120.13,56.33
Goodstown,-75.8,45.15
Goodwood,-63.68,44.59
Goo-ewe 8,-128.73,52.47
Goose Arm,-57.92,49.13
Goose Cove,-54.37,49.17333333
Goose Cove East,-55.62,51.3
Goose Lake,-65.51,43.58
Goose Spit 3,-124.92,49.66
Gooseberry Cove,-66.26,45.14
Gordon 86,-104.28,51.26
Gordon Bay,-79.79,45.2
Gordon Corner,-72.34,45.06
Gordon Head,-123.31,48.48
Gordon Lake,-83.86,46.42
Gordon River 2,-124.4,48.57
Gordon/Barrie Island,-82.54,45.89
Gordonsville,-67.5,46.47
Gordonville,-80.54,43.89
Gore,-63.73,45.11
Gores Landing,-78.23,44.11
Gorewood Acres,-79.65,43.74
Goring,-80.65,44.45
Gorlitz,-102.45,51.46
Gormanville,-63.75,45.25
Gormley,-79.38,43.94
Gosport,-77.365,44.065
Gosselin-Mills,-71.66,45.22
Gotham,-80.93,43.66
Goudalie,-64.67,46.37
Goudreau,-84.52,48.26
Goulais Bay 15A,-84.53,46.71
Goulais River,-84.38,46.72
Gould,-71.37,45.59
Gouldtown,-107.21,50.61
Gourd,-78.36,48.51
Govenlock,-109.81,49.23
Government Road,-77.04,45.77
Governor Lake,-62.64,45.21
Gowanstown,-80.92,43.77
Gowland Mountain,-65.04,45.8
Gracieville,-60.71,45.58
Grafton Hill,-67.56,46.14
Graham Corner,-67.68,45.84
Graham Park,-75.79,45.34
Grahamdale,-98.49,51.39
Grahamsville,-79.66,43.72
Grainfield,-65.87,46.81
Gramont,-74.81,45.9
Granada,-79.04,48.19
Granby-Ouest,-72.77,45.42
Grand Bay,-66.22,45.3
Grand Bay East,-59.16,47.58
Grand Bay West,-59.18,47.58
Grand Beach,-96.63,50.55
Grand Coulee,-104.81,50.43
Grand Desert,-63.25,44.68
Grand Étang,-61.04,46.54
Grand Falls Portage,-67.75,47.01
Grand Haven,-120.9,56.23
Grand Lake,-62.305,45.225
Grand Lake Road,-66.09,46.52
Grand Manan,-66.82,44.69
Grand Marais,-96.61,50.54
Grand Mira North,-60.31,45.86
Grand Mira South,-60.29,45.88
Grand Narrows,-60.79,45.95
Grand Pré,-64.3,45.1
Grand Rapids 33,-99.23,53.16
Grand Rapids Generating Station,-99.28,53.16
Grand River,-60.66,45.64
Grand River Falls,-60.61,45.7
Grand Sudbury,-81.06,46.57
Grand Tracadie,-63.04,46.39
Grand View,-105.55,50.38
Grand-Désert,-79.02,46.21
Grand-Détour,-67.53,48.79
Grande Greve,-60.84,45.63
Grande Point Settlement,-97.05,49.76
Grande Pointe,-97.05,49.76
Grande-Aldouane,-64.92,46.71
Grande-Baie,-70.85,48.31
Grande-Cascapédia,-65.89,48.25
Grande-Entrée,-61.54,47.55
Grande-Île,-74.14,45.25
Grande-Ligne,-73.3,45.22
Grande-Plaine,-64.53,47.98
Grande-Pointe,-70.57,47.27
Grande-Presqu'île,-75.04,45.59
Grande-Rivière-Ouest,-64.51,48.39
Grandes-Piles,-72.73,46.68
Grande-Vallée-des-Monts,-65.18,49.17
Grand-Fonds,-68.39,48.4
Grandin,-113.62,53.62
Grand-Lac-Touradi,-68.66,48.11
Grandmaison,-68.38,47.51
Grand-Mère,-72.7,46.61
Grand-Métis,-68.13,48.63
Grandmother's Bay 219,-104.59,55.61
Grandois,-55.74,51.1
Grandora,-106.98,52.11
Grand-Pabos,-64.63,48.35
Grand-Pabos-Ouest,-64.72,48.31
Grand-Remous,-75.9,46.61
Grand-Ruisseau,-67.86,47.2
Grand-Saint-Esprit,-72.5,46.18
Grand-Saint-Louis,-72.34,46.31
Grand-Sault,-67.73,47.05
Grandview Beach,-79.82,44.76
Grandview Bench,-119.15,50.65
Grandview Gardens,-84.26,46.51
Grandview Heights,-113.55,53.5
Grandview-Woodlands,-123.06,49.28
Granger,-80.09,44.05
Grangeville,-65.2,46.42
Granite,-117.36,49.48
Granite Hill,-67.09,45.95
Granite Island 4,-127.41,50.02
Granite Village,-64.97,43.85
Graniteville,-79.43,46.32
Grantham,-125.01,49.76
Granthams Landing,-123.5,49.41
Grantley,-75.15,45.07
Grants Corners,-74.7,45.08
Grants Settlement,-76.74,45.71
Grantville,-61.24,45.64
Granville Beach,-65.56,44.73
Granville Centre,-65.45,44.78
Granville Ferry,-65.52,44.75
Granville Ferry Range and Training Area,-65.53,44.75
Graphite,-77.88,45.2
Grass 15,-121.89,49.14
Grass Cove,-60.81,45.98
Grass Point 13,-128.02,50.51
Grasshill,-78.92,44.41
Grassie,-79.61,43.15
Grasslands 7,-121.4,50.79
Grassmere,-79.11,45.36
Grasswood,-106.65,52.05
Grasswoods 192J,-106.6,52.06
Grassy Bay,-130.26,54.3
Grassy Island 17,-127.25,49.92
Grassy Islet 2,-130.39,53.8
Grassy Narrow,-78.83,47.65
Gravel Hill,-66.12,47.91
Gravelle,-76.04,46.19
Graven Bank,-53.53,46.96
Graveyard 5,-122.65,49.21
Gray Creek,-116.78,49.63
Gray Valley,-74.68,45.95
Grays,-81.84,42.78
Grays Bay,-79.35,44.64
Gray's Beach,-76.12,44.33
Grays Mills,-66.06,45.48
Graysville,-98.15,49.5
Graywood,-65.45,44.64
Great Barasway,-54.06,47.12
Great Bear Lake 16,-123.7,54.45
Great Desert,-79.02,46.21
Great Falls,-96.01,50.45
Great Falls Generating Station,-96.0,50.46
Greater Madawaska,-76.85,45.27
Greece's Point,-74.5,45.59
Green Acres,-63.59,44.59
Green Bay,-64.43,44.21
Green Court,-115.23,54.0
Green Cove,-54.59,49.63
Green Creek,-63.4,45.24
Green Hill,-66.68,46.35
Green Island Cove,-56.58,51.38
Green Lane,-74.62,45.57
Green Mountain,-67.76,45.77
Green Oaks,-63.43,45.25
Green Park,-80.45,43.86
Green Point,-57.95,49.68
Green Ridge,-97.0,49.16
Green River,-79.18,43.9
Green Road,-67.75,46.09
Greenan,-108.31,51.2
Greenbank,-79.01,44.15
Greenboro,-75.63,45.36
Greenbush,-75.84,44.68
Greendale,-122.05,49.11
Greenfeld,-106.63,52.43
Greenfield Park,-73.47,45.48
Greenhead Road,-63.7,44.63
Greenhill,-67.02,46.06
Greenhurst-Thurstonia,-78.66,44.47
Greenland,-96.72,49.63
Greenlands,-76.04,45.48
Greenlay,-72.01,45.55
Greenleys Corners,-77.92,44.07
Greenly's Corners,-76.26,44.91
Greenmount-Montrose,-64.03,46.86
Greenock,-67.12,45.32
Greenough,-63.5,44.68
Greenpoint,-77.06,44.15
Greens Corner,-80.41,42.79
Greens Corners,-79.12,43.08
Greenside Acres,-79.98,43.21
Greenstreet,-109.81,53.46
Greensville,-79.99,43.28
Greenview,-113.82,52.28
Greenville,-66.03,43.85
Greenville Station,-63.66,45.64
Greenway,-99.11,49.36
Greenwich,-64.39,45.08
Greenwich Hill,-66.17,45.44
Greenwold,-61.97,45.61
Greenwood Island 3,-121.44,49.37
Greenwood Square,-64.88,44.99
Greer Mount,-76.46,45.75
Gregan,-65.05,47.07
Gregg,-99.29,49.97
Gregg Settlement,-67.7,46.45
Gregoire Lake 176,-111.15,56.41
Gregoire Lake 176A,-111.17,56.44
Gregoire Lake 176B,-111.11,56.46
Grégoires Mill,-81.95,49.29
Gregory,-79.65,45.13
Greig Lake,-108.7,54.44
Grenadier Island,-75.86,44.41
Grenfell Glen,-75.72,45.31
Grenfell Heights,-55.62,48.94
Grenville Bay,-74.6,45.64
Grenville Park,-76.53,44.24
Grenville-sur-la-Rouge,-74.63,45.65
Grey Highlands,-80.56,44.36
Grey Islands Harbour,-55.59,50.7
Greystone Heights,-106.61,52.11
Gribble Island 10,-129.13,53.35
Grief Island 2,-128.2,52.27
Griersville,-80.56,44.53
Grieves Corners,-77.01,44.35
Grimmonds Beach,-81.21,42.66
Grimms Settlement,-64.38,44.34
Grimsby Beach,-79.52,43.19
Grimsby Centre,-79.57,43.14
Grimsthorpe,-82.32,45.71
Grimston,-81.09,44.41
Griswold,-100.47,49.77
Grizzly Bear's Head 110 and Lean Man 111,-108.27,52.56
Grondines,-72.04,46.59
Grondines-Est,-72.01,46.61
Grondines-Ouest,-72.06,46.59
Grondines-Station,-72.07,46.63
Gros Cap,-84.57,46.52
Gros Cap 49,-84.89,47.99
Gros Cap Indian Village 49A,-84.88,47.96
Gros Nez,-60.95,45.51
Gros-Cap,-61.88,47.35
Gros-Mécatina,-58.96,50.83
Grosse Isle,-97.44,50.06
Grosse-Île,-67.39333333,47.62333333
Grosse-Île-Nord,-61.52,47.62
Grosses Coques,-66.09,44.36
Grosvenor,-61.49,45.61
Grosvenor Park,-106.62,52.11
Grouard,-116.16,55.52
Grouard 229,-116.13,55.55
Grouard 230,-116.1,55.52
Grouard 231,-115.39,55.48
Groundbirch,-120.91,55.78
Grove Creek,-76.26,45.9
Grove Hamlet,-64.73,46.1
Grove Hill,-65.73,45.4
Grove Park,-78.99,45.24
Grovenor,-113.57,53.56
Groves Point,-60.33,46.23
Grovesend,-80.92,42.67
Groveton,-75.56,44.89
Grub Road,-65.01,45.99
Gruenthal,-106.51,52.46
Guaytown,-74.65,45.33
Guelph/Eramosa,-80.26,43.6
Guénette,-75.24,46.52
Guerin,-78.16,44.35
Guérin,-79.31,47.65
Guernsey,-105.18,51.88
Guhthe Tah 12,-131.17,57.9
Guildford,-122.8,49.19
Guilds,-81.92,42.34
Guildwood Estates,-75.65,45.38
Guildwood Village,-79.19,43.73
Guilletville,-81.0,46.58
Guinea,-65.57,44.66
Guiney,-77.44,45.3
Guité,-66.01,48.17
Gulada 3A,-121.39,50.3
Gulch,-53.59,46.9
Gull Creek,-77.0,44.59
Gull Island,-53.04,47.95
Gull River 55,-89.14,49.8
Gull Rock,-79.59,45.21
Gullies,-53.28,47.64
Gullivers Cove,-65.92,44.6
Gul-mak 8,-127.6,55.43
Gun-a-chal 5,-127.62,55.39
Gunners Cove,-55.45,51.51
Gunning Cove,-65.34,43.68
Gunningsville,-64.77,46.07
Gunter,-77.54,44.88
Gunton,-97.26,50.31
Guoyskun 22,-133.03,54.21
Gustin Grove,-82.04,43.15
Guthrie,-79.54,44.47
Guyenne,-78.47,48.77
Guysborough Intervale,-61.61,45.45
Gwayasdums 1,-126.59,50.69
Gwen Lake 3,-120.76,50.01
Gwynne,-113.19,52.98
Gypsum Mines,-64.07,44.97
Habermehl,-81.02,44.2
Habitant,-64.39,45.15
Haché Road,-64.93,47.69
Hacheyville,-65.05,47.57
Haddo,-75.37,44.86
Hadleyville,-61.26,45.47
Hadlow,-71.21,46.77
Hagar,-80.41,46.45
Hagen,-105.55,52.93
Hagerman's Corners,-79.3,43.84
Haggertys Cove,-66.52,45.13
Hagman Estate Industrial,-113.54,53.58
Hagwilget,-127.59,55.25
Hagwilget 1,-127.59,55.25
Haig,-121.45,49.4
Haines Lake,-79.93,45.34
Hainsville,-75.39,44.9
Hairsine,-113.38,53.6
Halalt 2,-123.69,48.87
Halalt Island 1,-123.66,48.9
Halbstadt,-97.37,49.04
Halcomb,-65.94,46.93
Halcro 150C,-116.18,55.59
Halcyon Cove,-96.57,50.47
Haldane Hill,-79.42,45.42
Haldimand County,-79.85,42.98
Haldimand East,-64.4,48.79
Haldimand West,-64.44,48.77
Hale,-67.55,46.33
Haley Station,-76.77,45.56
Half Island Cove,-61.19,45.34
Half Moon Bay,-114.17,52.34
Halfmoon Bay,-123.91,49.51
Halfway,-66.08,47.81
Halfway Brook,-63.07,45.23
Halfway Cove,-61.37,45.34
Halfway House Corner,-80.28,42.78
Halfway River,-64.34,45.52
Halfway River 168,-121.83,56.47
Halhalaeden 14,-121.63,50.29
Halhalaeden 14A,-121.62,50.29
Halibut Bay,-63.55,44.54
Halifax-Nord,-71.7,46.13
Halkett Island 2,-123.38,48.43
Hall,-79.95,43.0
Hall Glen,-78.13,44.51
Hall Landing,-78.26,44.14
Hallboro,-99.44,50.14
Hallebourg,-83.5,49.66
Hallecks,-75.76,44.55
Hallerton,-73.52,45.07
Hallnor,-81.14,48.51
Hallonquist,-107.25,50.11
Halloway,-77.46,44.29
Hallowell,-77.28,43.96
Halls Corner,-67.61,46.57
Halls Harbour,-64.61,45.2
Halls Hill,-64.17,45.96
Halls Lake,-78.75,45.12
Halls Mills,-76.39,45.17
Hallville,-75.51,45.06
Halowis 5,-127.04,51.29
Halpenny,-76.28,45.11
Halstead Beach,-78.28,44.1
Halsteads Bay,-76.09,44.34
Halston,-77.29,44.31
Haltonville,-80.03,43.52
Halverson,-76.19,45.7
Halvorgate,-106.7,50.63
Hamer Bay,-79.77,45.23
Hamilton Beach,-79.78,43.28
Hamilton Corner,-80.19,43.51
Hamilton Creek 2,-120.51,50.16
Hamilton Creek 7,-120.53,50.06
Hamilton Heights,-80.69,43.38
Hamilton Road,-62.74,45.55
Hamiltonsfield,-77.13,45.82
Hamlet,-79.39,44.77
Hammertown,-79.73,43.94
Hammonds Plains,-63.77,44.73
Hammonds Plains Road,-63.74,44.72
Hammtown,-65.91,45.85
Hampelsfield,-77.13,45.81
Hampshire,-63.27,46.28
Hampshire Mills,-79.46,44.7
Hampton Heights,-79.83,43.22
Hampton Park,-75.73,45.39
Hamptons,-114.16,51.15
Ham-Sud,-71.6,45.75
Hamton,-102.33,51.43
Hamtown Corner,-66.77,46.12
Hanatsa 6,-125.98,50.53
Hanbury,-79.67,47.59
Handel,-108.7,52.06
Handsworth,-102.95,49.85
Haney,-122.6,49.21
Haneytown,-66.47,45.79
Hanford Brook,-65.62,45.45
Hanlan,-79.66,43.64
Hanmer,-80.94,46.65
Hansford,-63.79,45.72
Hants Border,-64.19,45.06
Happy Adventure,-53.78,48.63
Happy Hollow,-74.62,45.53
Happy Valley,-123.53,48.41
Happy Valley - Goose Bay,-60.44,53.34
Happyland,-79.41,44.66
Harbour Centre,-61.91,45.68
Harbour Chines,-122.85,49.26
Harbour Main-Chapel's Cove-Lakeview,-53.17,47.41
Harbour Mille,-54.87,47.58
Harbour Round,-55.73,49.92
Harbour Village,-122.81,49.26
Harbourview,-61.52,45.98
Harbourville,-64.81,45.15
Harburn,-78.42,45.12
Hardieville,-112.82,49.74
Harding,-100.53,49.99
Hardings Point,-66.21,45.36
Hardingville,-65.66,45.41
Hardwicke,-65.01,47.07
Hardwood Hill,-61.495,45.885
Hardwood Lake,-77.44,45.21
Hardwood Lands,-63.49,45.04
Hardwood Settlement,-64.92,47.05
Hardy,-64.02,46.07
Harewood,-65.25,46.06
Hargrave,-101.07,49.91
Harkaway,-80.68,44.41
Harlem,-76.12,44.67
Harley,-80.085,45.34
Harley Road,-65.81,46.21
Harlock,-81.37,43.67
Harlow,-110.71,50.04
Harlowe,-77.08,44.79
Harmony,-64.015,45.15
Harmony Beach,-84.37,46.84
Harmony Hall II,-79.96,43.21
Harmony Mills,-65.07,44.4
Harney's Corner,-76.96,45.88
Haro Strait Range,-123.35,48.56
Harpellville,-61.77,45.11
Harper,-76.35,44.91
Harper Corners,-79.99,43.36
Harper Settlement,-65.3,45.87
Harptree,-105.41,49.31
Harricott,-53.54,47.17
Harriets Corners,-77.45,45.41
Harrietsfield,-63.63,44.56
Harrietsville,-81.0,42.9
Harrigan Cove,-62.29,44.92
Harrington,-80.99,43.24
Harris 3,-119.23,50.38
Harris Brook Settlement,-65.95,46.92
Harris Hill,-94.54,48.94
Harris Lake,-80.38,45.69
Harrisburg,-80.21,43.23
Harrison,-57.78,48.97
Harrison Brook Settlement,-67.91,47.21
Harrison Settlement,-65.02,45.87
Harrisons Corners,-74.89,45.08
Harrisville,-64.72,46.11
Harrop,-117.06,49.6
Harrowby,-101.45,50.75
Harstone,-89.62,48.36
Hart,-96.55,54.42
Hart Highlands,-122.8,53.98
Hart Lake,-63.52,45.57
Harte,-99.46,49.98
Harten Corner,-67.41,46.14
Hartfell,-79.32,45.73
Hartfield,-67.32,46.02
Hartford,-67.64,46.18
Hartin Settlement,-67.54,45.89
Hartington,-76.66,44.44
Hartley,-78.89,44.44
Hartley Bay,-129.25,53.41
Hartley Settlement,-67.74,46.45
Hartleyville,-113.6,49.36
Hartlin Settlement,-63.0,44.76
Hartsmere,-77.53,45.09
Hartz Point,-65.36,43.74
Harvest Hills,-114.05,51.13
Harvey Bank,-64.69,45.73
Harvie Heights,-115.38,51.12
Harwill,-97.68,51.29
Harwood Plains,-75.96,45.37
Haskett,-97.97,49.01
Hasler Flat,-121.96,55.6
Hassett,-65.93,44.33
Hastings Highlands,-77.86,45.28
Hastings-Sunrise,-123.03,49.28
Hatch Point 12,-123.53,48.68
Hatchet Cove,-53.79,48.02
Hatchet Harbour,-54.62,49.63
Hatchet Lake,-63.72,44.56
Hatchley,-80.51,43.02
Hatfield,-105.01,51.43
Hatfield Point,-65.85,45.65
Hatherton,-80.36,44.27
