Municipality,Latitude,Longitude
Chicoutimi-Est,48.42,-71.02
Chicoutimi-Nord,48.44,-71.06
Chicoutimi-Ouest,48.42,-71.09
Chief Joseph Custer,53.19,-105.77
Chief Morris 13,53.07,-124.34
Chief Philip Morin 232,53.19,-105.73
Chief's Point 28,44.68,-81.28
Chig-in-kaht 8,54.85,-128.35
Chignecto,45.73,-64.21
Chikopi,45.65,-79.71
Chilanko Forks,52.11,-124.06
Chilco Lake 1,51.41,-124.11
Chilco Lake 1A,51.41,-124.1
Chilcotin Forest,52.11,-122.56
Chilcotin Training Area,52.08,-122.55
Child Lake 164A,58.47,-116.58
Childs Mines,45.07,-77.61
Chilhil 6,50.63,-121.8
Chimdimash 2,54.66,-128.35
Chimdimash 2A,54.68,-128.35
Chimney Creek 5,52.06,-122.27
Chimney Tickle,52.16,-55.69
Chimo Resort,50.02,-100.18
Chin,49.76,-112.44
Chinatown,51.05,-114.06
Chineside,49.26,-122.83
Chinook,51.44,-110.92
Chinook Park,50.98,-114.08
Chipewyan 201,58.54,-110.92
Chipewyan 201A,58.64,-110.6
Chipewyan 201B,58.59,-110.77
Chipewyan 201C,58.42,-110.91
Chipewyan 201D,58.41,-110.91
Chipewyan 201E,58.39,-110.97
Chipewyan 201F,58.02,-111.33
Chipewyan 201G,57.9,-111.39
Chipman Brook,45.16,-64.68
Chipmans Corner,45.1,-64.47
Chippawa,43.05,-79.04
Chippewa,44.49,-76.82
Chippewa Island,45.08,-80.04
Chippewa of the Thames,42.81,-81.47
Chippewas of Georgina Island First Nation,44.38,-79.28
Chippewas of Georgina Island First Nation 33A,44.32,-79.28
Chiselhurst,43.43,-81.43
Chiseuquis 9,49.83,-127.03
Chisholm,54.9,-114.16
Chisholm,46.1,-79.2
Chiswick,46.11,-79.18
Chitek,53.8,-107.75
Chitek Lake 191,53.71,-107.75
Chockpish,46.57,-64.73
Chocolate Cove,44.94,-66.98
Choisy,45.48,-74.21
Chomedey,45.53,-73.75
Chopaka 7 & 8,49.04,-119.71
Chorney Beach,51.8,-103.55
Christian Island 30,44.84,-80.18
Christian Island 30A,44.8,-80.11
Christie Lake,44.82,-76.41
Christie Park,51.03,-114.17
Christie Ridge,45.63,-67.15
Christies Corner,43.26,-80.03
Christina,42.86,-81.48
Christmas Island,45.97,-60.74
Christopher,47.93,-66.8
Chuchakacook 4,49.08,-124.84
Chuchhriaschin 5,50.46,-121.33
Chuchhriaschin 5A,50.44,-121.34
Chuchummisapo 15,48.87,-124.61
Chuchuwayha 2,49.37,-120.1
Chuchuwayha 2C,49.31,-120.13
Chuckchuk 8,49.97,-123.3
Chukcheetso 7,50,-121.52
Chum Creek 2,50.86,-119.58
Chundoo Lh'tan La 45,54.57,-124.56
Church Hill,45.74,-65.11
Church Point,44.33,-66.11
Church Point Station,44.3,-66.08
Churchill 1,58.71,-98.48
Churchill Downs,50.47,-104.6
Churchill Lake 193A,56.14,-108.2
Churchill Park,50.38,-105.53
Churchland Road,45.34,-65.93
Churchover,43.71,-65.35
Churchview,45.98,-61.14
Churchville,45.51,-62.63
Churchville,43.095,-80.68
Chute-à-Blondeau,45.58,-74.47
Chute-aux-Galets,48.65,-71.19
Chute-des-Passes,49.83,-71.16
Chute-Panet,46.86,-71.86
Chute-Rouge,46.58,-76.04
Chute-Saint-Philippe,46.65,-75.23
Chutes-de-Sainte-Ursule,46.31,-73.09
Chute-Victoria,46.64,-75.27
Chuz Ghun 8,54.64,-124.38
Chuz Teeslee 41,54.77,-124.61
Cinnabar Valley,49.1,-123.91
Cinnamon Hills,51.16,-114.08
Ciquart,47.5,-68.3
Citadel,51.15,-114.18
Cité-de-la-Mode,45.53,-73.65
Cité-des-Jeunes,45.39,-74.02
Cité-du-Havre,45.5,-73.55
Citeyats 9,53.24,-129.5
City Centre,49.88,-97.16
City Park North,52.14,-106.65
City Park South,52.13,-106.65
City View,45.35,-75.74
City View,50.435,-105.085
Clachan,42.58,-81.8
Clairlea,43.71,-79.29
Clairvaux-de-Bagot,45.72,-72.85
Clairville,46.38,-65.1
Clam Bay,44.73,-62.92
Clam Harbour,44.73,-62.87
Clam Point,43.49,-65.57
Clanbrassil,42.96,-79.95
Clandeboye,50.24,-96.97
Clandeboye,43.19,-81.45
Clandonald,53.57,-110.71
Clanwilliam,50.36,-99.81
Claoose 4,48.66,-124.82
Clapham,46.15,-71.49
Clapperton,48.15,-66.01
Clappison's Corners,43.31,-79.91
Claraday,44.28,-78.31
Clardon Beach,44.23,-79.46
Clare,43.99,-80.63
Clarence,44.89,-65.24
Clarence,45.56,-75.24
Clarence East,44.92,-65.17
Clarence Ridge,45.32,-67
Clarence West,44.86,-65.28
Clarendon,45.48,-66.41
Clarendon,45.65,-76.51
Clarendon Front,45.54,-76.56
Clarendon Station,44.87,-76.69
Clarenville South,48.15,-53.97
Clarina,44.55,-78.06
Clarkdon,49.77,-91.24
Clarke,43.96,-78.54
Clarke City,50.19,-66.63
Clarkes Hollow,43.87,-79.13
Clarks Church,44.11,-81.57
Clarks Corners,45.94,-66.13
Clarks Corners,43.79,-79.3
Clark's Harbour,43.44,-65.62
Clarksburg,44.54,-80.46
Clarksdale,43.35,-79.81
Clarkson,43.51,-79.63
Clarksville,45.1,-63.83
Clarkville,46.12,-67.37
Classy Creek 8,58.18,-130.8
Clatse 5,52.32,-127.83
Clatux 9,50.5,-127.83
Claude,43.79,-79.9
Clavering,44.68,-81.13
Clavet,51.99,-106.37
Clay Bank,45.38,-76.41
Clay Valley,45.42,-76.44
Claybank,50.04,-105.23
Clayburn,49.08,-122.26
Clayhurst,56.18,-120.05
Clayoqua 6,49.18,-125.53
Clayton,45.19,-76.32
Clayton Park,44.66,-63.64
Clear Creek,42.58,-80.59
Clear Hills 152C,56.53,-118.79
Clear Lake,45.25,-79.135
Clearbrook,49.05,-122.33
Cleardale,42.94,-81.25
Clearland,44.48,-64.4
Clearview,46.57,-67.72
Clearview,44.40333333,-78.47666667
Clearview Estates,43.22,-79.99
Clearview Heights,43.92,-79.52
Clearville,42.46,-81.71
Clearwater 175,56.65,-111.02
Clearwater Bay,49.71,-94.8
Clearwater Beach,44.85,-79.91
Clearwater Lake,53.97,-100.97
Clearwater River,56.525,-109.465
Clearwater River Dene Band 221,56.34,-109.54
Clearwater River Dene Band 223,56.05,-108.71
Cleho 6,48.92,-125.24
Clemenceau,52.66,-102.52
Clément,46.11,-75.93
Clements Park,44.96,-64.94
Clementsport,44.66,-65.6
Clementsvale,44.62,-65.55
Clemville,48.18,-65.01
Cléricy,48.36,-78.86
Clerval,48.75,-79.43
Clesbaoneecheck 3,53.96,-122.94
Cleveland,45.66,-61.23
Cleveland,45.66,-72.08
Cleveland Park,49.36,-123.1
Clienna 14,50.54,-127.99
Cliff Bungalow,51.03,-114.07
Cliffcrest,43.72,-79.22
Cliffside,43.7,-79.25
Clifton,47.72,-65.39
Clifton,45.33,-63.44
Clifton,43.12,-79.09
Clifton Royal,45.44,-66
Clifton-Partie-Est,45.25,-71.55
Cline River,52.18,-116.47
Clinton 1,51.09,-121.59
Cloan,52.61,-108.76
Clontarf,45.41,-77.13
Cloolthpich 12,49.2,-125.92
Cloridorme-Ouest,49.18,-64.85
Clotalairquot 4,55.35,-126.63
Cloud Bay,48.13,-89.42
Cloudslee,46.32,-83.7
Clouston,53.1,-105.85
Cloutier,48,-79.15
Clova,48.1,-75.36
Clover Bar,53.56,-113.35
Clover Hill,45.57,-65.58
Clover Valley,44.01,-81.59
Cloverdale,53.53,-113.47
Cloverdale,49.1,-122.72
Cloverdale,46.29,-67.35
Cloverdale,45.17,-63.22
Cloverdale,45.11,-75.4
Cloverleaf,49.98,-96.56
Cloverville,45.68,-62.01
Clowel 13,53.44,-129.81
Cluchuta Lake 10A,52.98,-125.07
Cluchuta Lake 10B,52.98,-125.07
Cludolicum 9,51.86,-122.03
Cludolicum 9A,51.86,-122.01
Cluny,50.84,-112.86
Clustalach 5,53.93,-124.25
Clute,49.18,-81.07
Clyde Forks,45.13,-76.67
Clydesdale,45.64,-62.05
Clydesville,45.03,-76.39
Coach Hill,51.05,-114.16
Coachman's Cove,50.06,-56.12
Coal Branch,46.35,-65.14
Coal Brook,47.93,-58.99
Coal Creek,46.09,-65.88
Coalburn,45.56,-62.59
Coalfields,49.1,-102.73
Coalmont,49.51,-120.7
Coalpit Bay,46.77,-78.98
Coates Mills,46.37,-64.87
Coaticook-Nord,45.14,-71.8
Coatsworth,42.16,-82.35
Coburg,46.02,-64.11
Coburn,45.67,-67.05
Cocagne Cove,46.33,-64.55
Cocagne-Nord,46.33,-64.66
Cocagne-Sud,46.32,-64.62
Cochenour,51.07,-93.8
Cockburn Island,45.92,-83.37
Cockmi 3,51.5,-127.68
Coddles Harbour,45.16,-61.54
Codes Corner,44.29,-76.42
Codiac Heights,46.06,-64.85
Codrington,44.16,-77.8
Codys,45.87,-65.82
Coffee Cove,49.58,-55.95
Coffin Island 3,50.57,-126.5
Coffinscroft,43.54,-65.55
Coglistiko River 29,52.98,-123.84
Cogmagun,45.09,-64.05
Cognashene,44.92,-79.92
Cohoe Point 20,54.23,-132.97
Coin-chez-Leblanc,45.87,-77.17
Coin-de-la-Petite-Mine,45.83,-71.85
Coin-Douglass,45.19,-73.44
Coin-du-Banc,48.55,-64.29
Coin-du-Quatre,48.63,-78.98
Coin-Lavigne,46.38,-73.89
Coin-Rond,45.63,-73.21
Coins Gratton,45.61,-74.92
Coin-Saint-Philippe,45.94,-71.78
Colbeck,43.99,-80.36
Colby Village,44.66,-63.48
Cold Brook,48.6,-58.53
Cold Lake 149,54.28,-110.28
Cold Lake 149A,54.45,-110.15
Cold Lake 149B,54.51,-110.25
Cold Lake 149c,54.72,-110.03
Cold Springs,44.06,-78.2
Coldbrook,45.06,-64.58
Coldsprings,44.28,-78.3
Coldwater 1,50.03,-120.83
Coldwell,48.76,-86.52
Cole Bay 3,48.61,-123.45
Cole Harbour,44.965,-62.375
Cole Harbour 30,44.65,-63.48
Cole Lake,44.58,-76.67
Colebrook,44.38,-76.77
Colebrooke Settlement,47.93,-66.72
Colebrooke West,47.03,-67.77
Colemans,43.23,-79.12
Coleman's Shore,45.05,-76.16
Colesdale Park,50.95,-105.15
Colfax,49.95,-103.98
Colgan,44.02,-79.84
Colgate,49.39,-103.89
Colindale,46.06,-61.49
Colinville,42.86,-82.34
College Bridge,45.97,-64.54
College Grant,45.53,-62.57
College Heights,52.48,-113.73
College Heights,53.86,-122.76
College Lake,45.23,-62.8
College Park,52.12,-106.59
College Park East,52.11,-106.57
Collette-Village,46.5,-64.72
Colliers,47.45,-53.24
Collin Lake 223,59.58,-110.17
Collina,45.77,-65.67
Collingwood Corner,45.6,-63.93
Collingwood Lakeshore Estates,51.08,-105.21
Collins,50.29,-89.44
Collins Cove,47.03,-55.17
Collins Inlet,46,-81.19
Collison Heights,44.27,-78.31
Colombière,48.09,-77.57
Colombourg,48.74,-79.14
Colombourg-Station,48.77,-79.13
Colonie-Cinq,48.38,-78.87
Colonie-de-Sainte-Julienne,48.9,-64.61
Colonie-Fournière,48.08,-78.15
Colpitts Settlement,45.98,-64.97
Colpoy's Bay,44.78,-81.12
Colpton,44.45,-64.84
Colquhoun,45.01,-75.13
Colquitz,48.48,-123.41
Columbia Gardens,49.06,-117.58
Columbia Lake 3,50.41,-115.91
Columbus,43.98,-78.91
Colwell,44.34,-79.78
Colwood,48.42,-123.49
Comeau,51.02,-98.97
Comeau Point,46.16,-64.15
Comeau Ridge,47.14,-67.69
Comeaus Hill,43.69,-66.01
Comeauville,44.28,-66.12
Comestock Corners,45.04,-72.13
Comet,42.01,-82.98
Comfort Bight,53.15,-55.77
Comfort Cove-Newstead,49.35,-54.87
Comins Mills,45.01,-71.5
Commanda,45.95,-79.6
Commodore Heights,52.16,-122.13
Commodore Park,44.68,-63.53
Communauté Atikamekw de Manawan,47.21,-74.38
Community Beach,43.23,-79.73
Como,45.44,-74.1
Comox 1,49.67,-124.95
Compeer,51.85,-110.01
Compton Island 6,50.59,-126.68
Conception Harbour,47.43,-53.22
Concession,44.28,-66.07
Concession-de-Baker-Brook,47.34,-68.55
Concession-des-Bouchard,47.26,-68.69
Concession-des-Jaunes,47.23,-68.8
Concession-des-Lang,47.28,-68.63
Concession-des-Ouellette,47.32,-68.59
Concession-des-Viel,47.25,-68.75
Concord,45.45,-62.79
Concord,43.8,-79.46
Concord Point,44.53,-79.21
Condor,52.32,-114.55
Confederation Heights,45.37,-75.68
Confederation Park,52.14,-106.73
Coningsby,43.74,-80.12
Coniston,46.49,-80.84
Conmee,48.48,-89.66
Connaught,50.53,-112.365
Connaught,46.46,-77.71333333
Connaught Heights,49.2,-122.95
Connaught Hill,48.47,-81.2
Connaught Range,45.36,-75.9
Connaught Shore,44.44,-78.37
Conne River,47.86,-55.75
Connell,46.4,-67.61
Connellys,44.35,-77.82
Connor,43.98,-79.92
Connors,47.21,-68.82
Conns Mills,45.76,-63.7
Conover,44.19,-80.21
Conquerall Bank,44.36,-64.46
Conquerall Mills,44.3,-64.52
Conrod Settlement,44.76,-63.24
Conroy,43.29,-81.04
Constance,49.2,-105.81
Constance Lake (Achikamii/Achikamaw),49.8,-84.13
Constance Lake 92,49.81,-84.12
Constant Creek,45.41,-77.01
Convent Glen,45.46,-75.53
Convoy Place,44.66,-63.61
Conway,44.6,-65.77
Conway,44.11,-76.91
Cooke's Shore,45.04,-76.21
Cooking Lake,53.41,-113.12
Cooks Brook,46.13,-64.69
Cooks Brook,45.02,-63.29
Cooks Cove,45.36,-61.48
Cooks Mills,44.695,-79.315
Cookshire-Eaton,45.41,-71.63
Cooksville,43.58,-79.61
Cookville,46.04,-64.33
Cookville,44.43,-64.55
Coombe,49.32,-122.91
Coombes Road,47.19,-67.76
Coombs,49.3,-124.41
Cooper,44.64,-77.47
Coopers Falls,44.78,-79.23
Coopte 9,49.69,-126.59
Cootes Paradise,43.26,-79.94
Cootes Pond,46.95,-53.52
Copeland Park,45.36,-75.74
Copenhagen,42.67,-80.98
Copetown,43.24,-80.05
Copp,45.46,-77.45
Coppell,49.53,-83.82
Copper Cliff,46.47,-81.06
Copper Johnny Meadow 8,51.37,-121.74
Copper Lake,45.4,-61.98
Copperhead,45.15,-80.13
Coppin's Corners,44.04,-79.14
Coquitlam 1,49.23,-122.8
Coquitlam 2,49.24,-122.79
Coral,50.21,-81.67
Coral Springs,51.1,-113.93
Corbeil,46.26,-79.29
Corberrie,44.23,-65.92
Corbett,43.24,-81.69
Corbetton,44.13,-80.32
Corbin,46.96,-55.24
Corbyville,44.21,-77.38
Cordova,50.13,-99.71
Cordova Bay,48.51,-123.36
Cordova Mines,44.54,-77.78
Corinne,50.05,-104.61
Corinth,42.82,-80.83
Cork,45.71,-66.92
Corkery,45.28,-76.1
Corkscrew Creek 10,53.87,-124.22
Corkscrew Creek 9,53.87,-124.19
Corktown,43.24,-79.86
Corkums Island,44.34,-64.32
Cormac,45.46,-77.29
Cormier Cove,45.95,-64.56
Cormier-Village,46.17,-64.35
Cormierville,46.4,-64.62
Cornell,42.9,-80.62
Cornfield,47.04,-52.89
Cornhill,45.91,-65.34
Cornhill East,45.91,-65.3
Cornwall Centre,45.04,-74.8
Cornwall Island,45.01,-74.68
Cornwall Lake 224,59.6,-110.59
Cornwallis Park,44.65,-65.63
Cornwallis Square,45.07,-64.66
Coronation Gardens,43.95,-79
Coronation Park,42.96,-82.37
Coronation Park,50.47,-104.62
Coronet Additional Industrial,53.5,-113.45
Coronet Industrial,53.49,-113.47
Corriveau,46.12,-71.02
Corsons,44.62,-78.89
Corte-Real,48.9,-64.59
Cortes Bay,50.06,-124.93
Corwhin,43.5,-80.1
Corwin Crescent,43.08,-79.1
Coryatsaqua (Moricetown) 2,55.03,-127.33
Cosine,52.13,-109.93
Cosman Settlement,45.9,-65.45
Cossetteville,46.68,-72.53
Costigan,46.9,-67.75
Cosy Cove,44.49,-77.28
Cote 64,51.63,-101.91
Coteau Beach,51.16,-106.82
Coteau Road,47.83,-64.55
Coteau-du-Lac,45.3,-74.18
Coteau-Landing,45.25,-74.21
Coteau-Mauvais-Riz,47.02,-70.43
Coteau-Station,45.28,-74.23
Côte-d'en-Bas,45.8,-73.31
Côte-de-Sable,45.42,-75.67
Côte-des-Neiges–Notre-Dame-de-Grâce,45.49,-73.62
Côte-des-Perron,45.64,-73.72
Côte-d'Or,46.35,-64.62
Côte-du-Lac,46.93,-71.2
Côte-Nord-du-Golfe-du-Saint-Laurent,50.46,-59.6
Côte-Sainte-Anne,46.57,-64.72
Côte-Saint-Luc,45.46,-73.66
Côte-Saint-Pierre,45.82,-75.06
Cotnam Island,45.79,-77.03
Cotswold,43.86,-80.79
Cottage Cove,44.99,-65.17
Cottesloe,44.4,-78.08
Cottlesville,49.5,-54.86
Cottonwoods,49.84,-99.7
Couchiching 16A,48.68,-93.42
Coude-de-la-Rivière-Moisie,50.26,-66.06
Coughlan,46.76,-65.76
Coughlin,48.88,-88.38
Coulson,44.57,-79.61
Coulson's Hill,44.16,-79.57
Coulter,49.09,-100.98
Country Harbour Lake,45.3,-61.91
Country Harbour Mines,45.25,-61.82
Country Hills,51.06,-114.09
Country Hills,43.41,-80.47
Country Hills Village,51.15,-114.06
Country Place,45.32,-75.7
County of Brant,43.13,-80.28
Courcelles,45.86,-70.98
Courcellette,47.71,-70.05
Courtice,43.91,-78.77
Courtland,42.84,-80.63
Courtland Park,45.37,-75.71
Courville,46.88,-71.16
Cous 3,49.18,-124.83
Coutnac Beach,44.82,-79.91
Couttsville,47.66,-79.69
Couturier,47.68,-69.21
Couturval,48.46,-67.5
Cove Beach,44.33,-78.64
Cove Cliff,49.31,-122.95
Covedell,47.31,-65.01
Coventry,43.9,-79.73
Coventry Hills,51.17,-114.03
Coventry Place,50.46,-104.64
Coverdale,46.04,-64.89
Coverdale,43.96,-78.14
Covey Hill,45.01,-73.75
Coveys Island,44.24,-64.36
Cow Bay,44.62,-63.42
Cowan's Bay,44.33,-78.54
Cowans Creek,47.65,-64.91
Cowessess 73,50.58,-102.67
Cowessess 73A,50.61,-102.5
Cowichan 1,48.76,-123.66
Cowichan 9,48.75,-123.65
Cowichan Lake,48.82,-124.07
Cowichan Station,48.73,-123.66
Cowie Hill,44.63,-63.62
Cowper Lake 194A,55.91,-110.46
Cox Point,46.02,-65.96
Coxheath,46.1,-60.24
Coxvale,44.87,-76.87
Coyle,50.15,-120.88
Coyle,42.98,-79.27
Coytown,45.83,-66.2
CPR,50.4,-105.55
Crab River (Crab Harbour) 18,53.56,-128.76
Cracknell,50.86,-101.24
Crafts Cove,45.73,-66
Craig Henry,45.33,-75.76
Craig Shore,45.04,-76.16
Craigellachie,50.96,-118.71
Craighurst,44.52,-79.72
Craigleith,44.52,-80.32
Craigmawr Beach,44.23,-79.47
Craigmont,45.29,-77.63
Craigmore,45.76,-61.47
Craigmyle,51.66,-112.24
Craigsholme,43.78,-80.27
Craigville,46.96,-65.53
Cramahe,44.08,-77.87
Crampton,42.94,-80.94
Cranberry,49.88,-124.53
Cranberry,46.07,-71.46
Cranberry Junction,55.56,-128.6
Crandall,50.15,-100.78
Crandall Road,45.63,-61.34
Crane River 51,51.49,-99.23
Crane Valley,49.75,-105.52
Cranston,42.99,-79.92
Crathie,43.02,-81.63
Crawford,44.26,-80.93
Crawford Plains,53.43,-113.4
Crawford's Grove,44.27,-78.33
Crean Hill,46.42,-81.35
Creditville,43.15,-80.61
Cree,49.21,-84.7
Cree Lake 192G,57.38,-107.06
Creek Bank,43.7,-80.53
Creek Road,45.93,-65.38
Creighton Heights,44.01,-78.14
Creighton Valley,50.21,-118.78
Creignish Rear,45.71,-61.41
Crescent,49.05,-122.85
Crescent Bay,49.61,-117.15
Crescent Beach,49.33,-121.265
Crescent Beach,44.23,-64.41
Crescent Beach,43.595,-79.2
Crescent Harbour,44.37,-79.53
Crescent Heights,51.05,-114.05
Crescent Heights,50.38,-105.48
Crescent Park,42.89,-78.96
Crescent Town,43.69,-79.29
Crescent Valley,49.45,-117.55
Crescent View,50.4,-105.5
Cresswell,44.28,-78.97
Cressy,44.09,-76.87
Cresthill,46.31,-75.86
Creston 1,49.05,-116.53
Crestview,45.34,-75.73
Crestwood,51.775,-112.105
Crestwynd,50.1,-105.68
Crewe,43.9,-81.64
Crewsons Corners,43.63,-80.08
Crichton Park,44.68,-63.56
Crieff,43.42,-80.15
Crinan,42.65,-81.66
Crique-Clair,47.27,-72.84
Crique-La Corne,48.25,-77.96
Crocker Hill,45.19,-67.25
Crockets Corner,45.78,-65.34
Croft,45.49,-61.83
Crofton,48.86,-123.65
Crofton,44.06,-77.31
Cromar,42.78,-82.26
Cromarty,43.42,-81.35
Crombie Settlement,46.94,-67.49
Cromdale,53.56,-113.46
Cromer,49.73,-101.23
Crooked Bay,44.92,-79.76
Crooked Creek,55.17,-117.88
Crooked Creek,43.97,-78.51
Crooked Lake,44.9,-64.54
Crooked River,52.85,-103.73
Crooks,48.07,-89.52
Crookston,44.43,-77.44
Crosby,44.65,-76.25
Cross Creek,46.3,-66.71
Cross Lake 19,54.61,-97.83
Cross Lake 19A,54.64,-97.76
Cross Lake 19B,54.57,-97.75
Cross Lake 19C,54.59,-97.77
Cross Lake 19D,54.61,-97.94
Cross Lake 19E,54.62,-97.75
Cross Lake 19x01,55.09,-95.97
Cross Lake 19x02,55.08,-96.07
Cross Lake 19x03,55.22,-96.2
Cross Lake 19x05,54.99,-97.4
Cross Lake 19x06,55.07,-97.01
Cross Point Station,48.03,-66.69
Cross Roads,47.01,-65.58
Cross Roads,45.325,-63.645
Cross Roads Ohio,45.48,-62.05
Crossburn,44.74,-64.81
Crosshill,43.53,-80.74
Crossland,44.53,-79.91
Crossley Hunter,42.85,-81.03
Croton,42.61,-82.04
Crouses Settlement,44.34,-64.4
Crousetown,44.26,-64.48
Crow Harbour,45.09,-66.62
Crow Head,49.67,-54.79
Crowe Bridge,44.38,-77.75
Crowes Landing,44.56,-78.06
Crowes Mills,45.4,-63.36
Crowland,42.98,-79.25
Crown Hill,44.43,-79.64
Croydon,44.42,-76.97
Crozier,48.61,-93.53
Cruickshank,44.59,-81.04
Crumlin,43.01,-81.14
Crutwell,53.21,-106.06
Cryderman Subdivision,46.67,-80.74
Crystal,44.79,-75.9
Crystal Bay,45.35,-75.84
Crystal Bay-Sunset,53.55,-108.86
Crystal Falls,46.45,-79.88
Crystal Falls,46.04,-74.6
Crystal Lake,51.85,-102.42
Crystal Rock,44.79,-75.49
Crystal Springs,52.97,-114.03
Crystal Springs,44.22,-78.31
Crystal Springs,52.8,-105.36
Cudsaskwa Beach,52.65,-105.62
Cullen,49.36,-102.95
Cullens Brook,48.04,-65.44
Culligan,47.91,-65.92
Cullite 3,48.59,-124.69
Culloden,44.65,-65.83
Culloden,42.88,-80.84
Culls Harbour,48.67,-53.94
Culross,49.71,-97.91
Cultus,42.63,-80.61
Cumberland 100A,53.04,-104.84
Cumberland 20,53.93,-102.24
Cumberland Mills,46.19,-70.62
Cummings Cove,44.94,-66.99
Cumnock,43.75,-80.45
Cumshewas 7,53.04,-131.69
Cundles,44.4,-79.7
Cunningham's Corners,44.33,-78.69
Curran,45.49,-74.99
Currie,46.76,-67.58
Currie Heights,50.38,-105.55
Currie Road,46.87,-67.58
Currieburg,46.3,-66.81
Curries,43.06,-80.71
Curry Hill,45.2,-74.39
Currys Corner,44.97,-64.13
Curryville,45.83,-64.63
Curtis Park,47.01,-65.44
Curve Lake 35A,44.47,-78.4
Curve Lake First Nation 35,44.48,-78.36
Curventon,47.05,-65.82
Curzon Village,49.51,-57.92
Cushendall,44.32,-76.38
Cushing,45.59,-74.46
Cuslett,46.96,-54.15
Cutbank,51.3,-106.85
Cynthia,53.28,-115.42
Cypress Park,49.34,-123.23
Cyr Junction,47.12,-67.89
Cyrville,45.42,-75.63
Daaquam,46.58,-70.06
Daaquam-Nord,46.61,-70.08
Dablon,48.31,-72.16
Dacotah,49.87,-97.63
Dacre,45.37,-76.96
Dafoe,51.75,-104.52
Dagger Woods,45.59,-61.84
Dahinda,49.73,-105.05
D'Aiguillon,48.82,-64.31
Dain City,42.94,-79.24
Dakiulis 7,50.73,-126.56
Dakota Plains,49.81,-98.52
Dakota Plains 6A,49.81,-98.51
Dakota Tipi,49.94,-98.35
Dakota Tipi 1,49.94,-98.34
Dale,43.98,-78.29
Dalem Lake,46.25,-60.41
D'Alembert,48.36,-79.01
Dalemead,50.87,-113.63
Dalesville,45.7,-74.39
Dalhousie Junction,48.04,-66.5
Dalhousie Lake,44.95,-76.6
Dalhousie Mills,45.31,-74.47
Dalibaire-Ouest,48.93,-66.88
Dalkeith,45.44,-74.57
Dalk-ka-gila-quoeux 2,54.58,-128.66
Dallas,50.66,-120.16
Dallas,51.39,-97.48
Dalroy,51.12,-113.66
Dalrymple,44.64,-79.1
Dalston,44.48,-79.68
Dalton,48.15,-84.03
Dalton Mills,48.12,-84.07
Dalvay,46.41,-63.06
Daly Grove,53.44,-113.39
Damascus,45.46,-65.8
Damascus,43.91,-80.48
Dame-Neuve,45.63,-74.35
Dana,52.3,-105.7
Danbury,52.04,-102.25
Danby,45.67,-72.41
Dancaster Courts,43.21,-79.98
Dance,48.76,-93.67
Dand,49.34,-100.5
Dane,48.07,-80.03
Danesville,44.18,-64.62
Danford Lake,45.92,-76.15
Daniel's Harbour,50.23,-57.58
Daniel's Point,46.75,-53.37
Daningay 12,54.08,-132.57
Danvers,44.37,-65.89
Dapp,54.34,-113.91
Darby,45.41,-72.64
D'Arcy,50.55,-122.48
D'Arcy,51.46,-108.53
Darfield,51.3,-120.18
Darling Road,42.96,-79.69
Darlingford,49.2,-98.37
Darlings Beach,49.97,-107.92
Darlings Lake,43.95,-66.13
Darlingside,44.36,-75.97
Darlington,48.05,-66.38
Darlington,46.31,-63.32
Darmody,50.71,-106.28
Darrell,42.47,-82.18
Dartford,44.22,-77.93
Dartmoor,49.24,-122.82
Darwell,53.67,-114.59
Dashken 22,54.15,-130.16
Dashwood,49.36,-124.51
Dauphin Beach,51.14,-99.84
Dauphin River,51.95,-98.06
Dauphin River 48A,51.95,-98.05
Dauversière,47.76,-65.86
Davidson Corner,45.5,-75.67
Davidson Hill,45.58,-72.37
Davidson Lake,45.94,-67.13
Davidsons Beach,44.36,-76.54
Davie Lake 28,54.53,-122.71
Davies Industrial East,53.5,-113.42
Davies Industrial West,53.49,-113.45
Davin,50.38,-104.1
Davis,53.11,-105.65
Davis Bay,49.43,-123.73
Davis Lock,44.56,-76.28
Davis Mill,47.185,-67.87
Davis Mills,45.75,-77.2
Davisville,43.7,-79.38
Dawn Mills,42.58,-82.12
Dawn Valley,42.65,-82.22
Dawn-Euphemia,42.7,-82.06
Dawson Bay,52.97,-100.97
Dawson Settlement,45.94,-64.75
Dawsonville,47.93,-66.89
Day Hill,45.97,-67.14
Day Mills,46.29,-83.35
Day Star 87,51.53,-104.26
Day's Beach,53.05,-108.34
Dayspring,44.37,-64.47
Dayton,43.87,-66.1
Dayton,46.25,-83.35
Daytonia Beach,44.48,-78.73
Daytown,44.63,-76.1
De Beaujeu,45.32,-74.33
De Forceville,48.52,-64.35
De Grasse,50.21,-66.21
De Grassi Point,44.25,-79.52
De Lesseps,46.12,-74.56
De Quen-Nord,48.33,-72.12
De Saint-Just,47.45,-70
De Winton,50.82,-114.01
Deacon,45.6,-77.37
Deacons Corner,49.82,-96.93
Dead Creek,45.87,-67.51
Dead Islands,52.79,-55.83
Dead Point 5,50.59,-126.59
Deadmans Cove,51.25,-56.78
Deadmans Harbour,45.05,-66.76
Dean,45.19,-62.88
Dean Lake,46.21,-83.15
Deanlea Beach,44.61,-79.99
Deans Corner,44.39,-64.33
Dearlock,48.84,-94.09
