Municipality,Province - Territory,Latitude,Longitude
Copeland Park,Ontario,45.36,-75.74
Copenhagen,Ontario,42.67,-80.98
Copetown,Ontario,43.24,-80.05
Copp,Ontario,45.46,-77.45
Coppell,Ontario,49.53,-83.82
Copper Cliff,Ontario,46.47,-81.06
Copper Johnny Meadow 8,British Columbia,51.37,-121.74
Copper Lake,Nova Scotia,45.4,-61.98
Copperhead,Ontario,45.15,-80.13
Coppin's Corners,Ontario,44.04,-79.14
Coquitlam 1,British Columbia,49.23,-122.8
Coquitlam 2,British Columbia,49.24,-122.79
Coral,Ontario,50.21,-81.67
Coral Springs,Alberta,51.1,-113.93
Corbeil,Ontario,46.26,-79.29
Corberrie,Nova Scotia,44.23,-65.92
Corbett,Ontario,43.24,-81.69
Corbetton,Ontario,44.13,-80.32
Corbin,Newfoundland and Labrador,46.96,-55.24
Corbyville,Ontario,44.21,-77.38
Cordova,Manitoba,50.13,-99.71
Cordova Bay,British Columbia,48.51,-123.36
Cordova Mines,Ontario,44.54,-77.78
Corinne,Saskatchewan,50.05,-104.61
Corinth,Ontario,42.82,-80.83
Cork,New Brunswick,45.71,-66.92
Corkery,Ontario,45.28,-76.1
Corkscrew Creek 10,British Columbia,53.87,-124.22
Corkscrew Creek 9,British Columbia,53.87,-124.19
Corktown,Ontario,43.24,-79.86
Corkums Island,Nova Scotia,44.34,-64.32
Cormac,Ontario,45.46,-77.29
Cormier Cove,New Brunswick,45.95,-64.56
Cormier-Village,New Brunswick,46.17,-64.35
Cormierville,New Brunswick,46.4,-64.62
Cornell,Ontario,42.9,-80.62
Cornfield,Newfoundland and Labrador,47.04,-52.89
Cornhill,New Brunswick,45.91,-65.34
Cornhill East,New Brunswick,45.91,-65.3
Cornwall Centre,Ontario,45.04,-74.8
Cornwall Island,Ontario,45.01,-74.68
Cornwall Lake 224,Alberta,59.6,-110.59
Cornwallis Park,Nova Scotia,44.65,-65.63
Cornwallis Square,Nova Scotia,45.07,-64.66
Coronation Gardens,Ontario,43.95,-79
Coronation Park,Ontario,42.96,-82.37
Coronation Park,Saskatchewan,50.47,-104.62
Coronet Additional Industrial,Alberta,53.5,-113.45
Coronet Industrial,Alberta,53.49,-113.47
Corriveau,Quebec,46.12,-71.02
Corsons,Ontario,44.62,-78.89
Corte-Real,Quebec,48.9,-64.59
Cortes Bay,British Columbia,50.06,-124.93
Corwhin,Ontario,43.5,-80.1
Corwin Crescent,Ontario,43.08,-79.1
Coryatsaqua (Moricetown) 2,British Columbia,55.03,-127.33
Cosine,Saskatchewan,52.13,-109.93
Cosman Settlement,New Brunswick,45.9,-65.45
Cossetteville,Quebec,46.68,-72.53
Costigan,New Brunswick,46.9,-67.75
Cosy Cove,Ontario,44.49,-77.28
Cote 64,Saskatchewan,51.63,-101.91
Coteau Beach,Saskatchewan,51.16,-106.82
Coteau Road,New Brunswick,47.83,-64.55
Coteau-du-Lac,Quebec,45.3,-74.18
Coteau-Landing,Quebec,45.25,-74.21
Coteau-Mauvais-Riz,Quebec,47.02,-70.43
Coteau-Station,Quebec,45.28,-74.23
Côte-d'en-Bas,Quebec,45.8,-73.31
Côte-de-Sable,Ontario,45.42,-75.67
Côte-des-Neiges–Notre-Dame-de-Grâce,Quebec,45.49,-73.62
Côte-des-Perron,Quebec,45.64,-73.72
Côte-d'Or,New Brunswick,46.35,-64.62
Côte-du-Lac,Quebec,46.93,-71.2
Côte-Nord-du-Golfe-du-Saint-Laurent,Quebec,50.46,-59.6
Côte-Sainte-Anne,New Brunswick,46.57,-64.72
Côte-Saint-Luc,Quebec,45.46,-73.66
Côte-Saint-Pierre,Quebec,45.82,-75.06
Cotnam Island,Ontario,45.79,-77.03
Cotswold,Ontario,43.86,-80.79
Cottage Cove,Nova Scotia,44.99,-65.17
Cottesloe,Ontario,44.4,-78.08
Cottlesville,Newfoundland and Labrador,49.5,-54.86
Cottonwoods,Manitoba,49.84,-99.7
Couchiching 16A,Ontario,48.68,-93.42
Coude-de-la-Rivière-Moisie,Quebec,50.26,-66.06
Coughlan,New Brunswick,46.76,-65.76
Coughlin,Ontario,48.88,-88.38
Coulson,Ontario,44.57,-79.61
Coulson's Hill,Ontario,44.16,-79.57
Coulter,Manitoba,49.09,-100.98
Country Harbour Lake,Nova Scotia,45.3,-61.91
Country Harbour Mines,Nova Scotia,45.25,-61.82
Country Hills,Alberta,51.06,-114.09
Country Hills,Ontario,43.41,-80.47
Country Hills Village,Alberta,51.15,-114.06
Country Place,Ontario,45.32,-75.7
County of Brant,Ontario,43.13,-80.28
Courcelles,Quebec,45.86,-70.98
Courcellette,Quebec,47.71,-70.05
Courtice,Ontario,43.91,-78.77
Courtland,Ontario,42.84,-80.63
Courtland Park,Ontario,45.37,-75.71
Courville,Quebec,46.88,-71.16
Cous 3,British Columbia,49.18,-124.83
Coutnac Beach,Ontario,44.82,-79.91
Couttsville,Ontario,47.66,-79.69
Couturier,Quebec,47.68,-69.21
Couturval,Quebec,48.46,-67.5
Cove Beach,Ontario,44.33,-78.64
Cove Cliff,British Columbia,49.31,-122.95
Covedell,New Brunswick,47.31,-65.01
Coventry,Ontario,43.9,-79.73
Coventry Hills,Alberta,51.17,-114.03
Coventry Place,Saskatchewan,50.46,-104.64
Coverdale,New Brunswick,46.04,-64.89
Coverdale,Ontario,43.96,-78.14
Covey Hill,Quebec,45.01,-73.75
Coveys Island,Nova Scotia,44.24,-64.36
Cow Bay,Nova Scotia,44.62,-63.42
Cowan's Bay,Ontario,44.33,-78.54
Cowans Creek,New Brunswick,47.65,-64.91
Cowessess 73,Saskatchewan,50.58,-102.67
Cowessess 73A,Saskatchewan,50.61,-102.5
Cowichan 1,British Columbia,48.76,-123.66
Cowichan 9,British Columbia,48.75,-123.65
Cowichan Lake,British Columbia,48.82,-124.07
Cowichan Station,British Columbia,48.73,-123.66
Cowie Hill,Nova Scotia,44.63,-63.62
Cowper Lake 194A,Alberta,55.91,-110.46
Cox Point,New Brunswick,46.02,-65.96
Coxheath,Nova Scotia,46.1,-60.24
Coxvale,Ontario,44.87,-76.87
Coyle,British Columbia,50.15,-120.88
Coyle,Ontario,42.98,-79.27
Coytown,New Brunswick,45.83,-66.2
CPR,Saskatchewan,50.4,-105.55
Crab River (Crab Harbour) 18,British Columbia,53.56,-128.76
Cracknell,Manitoba,50.86,-101.24
Crafts Cove,New Brunswick,45.73,-66
Craig Henry,Ontario,45.33,-75.76
Craig Shore,Ontario,45.04,-76.16
Craigellachie,British Columbia,50.96,-118.71
Craighurst,Ontario,44.52,-79.72
Craigleith,Ontario,44.52,-80.32
Craigmawr Beach,Ontario,44.23,-79.47
Craigmont,Ontario,45.29,-77.63
Craigmore,Nova Scotia,45.76,-61.47
Craigmyle,Alberta,51.66,-112.24
Craigsholme,Ontario,43.78,-80.27
Craigville,New Brunswick,46.96,-65.53
Cramahe,Ontario,44.08,-77.87
Crampton,Ontario,42.94,-80.94
Cranberry,British Columbia,49.88,-124.53
Cranberry,Quebec,46.07,-71.46
Cranberry Junction,British Columbia,55.56,-128.6
Crandall,Manitoba,50.15,-100.78
Crandall Road,Nova Scotia,45.63,-61.34
Crane River 51,Manitoba,51.49,-99.23
Crane Valley,Saskatchewan,49.75,-105.52
Cranston,Ontario,42.99,-79.92
Crathie,Ontario,43.02,-81.63
Crawford,Ontario,44.26,-80.93
Crawford Plains,Alberta,53.43,-113.4
Crawford's Grove,Ontario,44.27,-78.33
Crean Hill,Ontario,46.42,-81.35
Creditville,Ontario,43.15,-80.61
Cree,Ontario,49.21,-84.7
Cree Lake 192G,Saskatchewan,57.38,-107.06
Creek Bank,Ontario,43.7,-80.53
Creek Road,New Brunswick,45.93,-65.38
Creighton Heights,Ontario,44.01,-78.14
Creighton Valley,British Columbia,50.21,-118.78
Creignish Rear,Nova Scotia,45.71,-61.41
Crescent,British Columbia,49.05,-122.85
Crescent Bay,British Columbia,49.61,-117.15
Crescent Beach,British Columbia,49.33,-121.265
Crescent Beach,Nova Scotia,44.23,-64.41
Crescent Beach,Ontario,43.595,-79.2
Crescent Harbour,Ontario,44.37,-79.53
Crescent Heights,Alberta,51.05,-114.05
Crescent Heights,Saskatchewan,50.38,-105.48
Crescent Park,Ontario,42.89,-78.96
Crescent Town,Ontario,43.69,-79.29
Crescent Valley,British Columbia,49.45,-117.55
Crescent View,Saskatchewan,50.4,-105.5
Cresswell,Ontario,44.28,-78.97
Cressy,Ontario,44.09,-76.87
Cresthill,Quebec,46.31,-75.86
Creston 1,British Columbia,49.05,-116.53
Crestview,Ontario,45.34,-75.73
Crestwood,Alberta,51.775,-112.105
Crestwynd,Saskatchewan,50.1,-105.68
Crewe,Ontario,43.9,-81.64
Crewsons Corners,Ontario,43.63,-80.08
Crichton Park,Nova Scotia,44.68,-63.56
Crieff,Ontario,43.42,-80.15
Crinan,Ontario,42.65,-81.66
Crique-Clair,Quebec,47.27,-72.84
Crique-La Corne,Quebec,48.25,-77.96
Crocker Hill,New Brunswick,45.19,-67.25
Crockets Corner,New Brunswick,45.78,-65.34
Croft,Nova Scotia,45.49,-61.83
Crofton,British Columbia,48.86,-123.65
Crofton,Ontario,44.06,-77.31
Cromar,Ontario,42.78,-82.26
Cromarty,Ontario,43.42,-81.35
Crombie Settlement,New Brunswick,46.94,-67.49
Cromdale,Alberta,53.56,-113.46
Cromer,Manitoba,49.73,-101.23
Crooked Bay,Ontario,44.92,-79.76
Crooked Creek,Alberta,55.17,-117.88
Crooked Creek,Ontario,43.97,-78.51
Crooked Lake,Nova Scotia,44.9,-64.54
Crooked River,Saskatchewan,52.85,-103.73
Crooks,Ontario,48.07,-89.52
Crookston,Ontario,44.43,-77.44
Crosby,Ontario,44.65,-76.25
Cross Creek,New Brunswick,46.3,-66.71
Cross Lake 19,Manitoba,54.61,-97.83
Cross Lake 19A,Manitoba,54.64,-97.76
Cross Lake 19B,Manitoba,54.57,-97.75
Cross Lake 19C,Manitoba,54.59,-97.77
Cross Lake 19D,Manitoba,54.61,-97.94
Cross Lake 19E,Manitoba,54.62,-97.75
Cross Lake 19x01,Manitoba,55.09,-95.97
Cross Lake 19x02,Manitoba,55.08,-96.07
Cross Lake 19x03,Manitoba,55.22,-96.2
Cross Lake 19x05,Manitoba,54.99,-97.4
Cross Lake 19x06,Manitoba,55.07,-97.01
Cross Point Station,Quebec,48.03,-66.69
Cross Roads,New Brunswick,47.01,-65.58
Cross Roads,Nova Scotia,45.325,-63.645
Cross Roads Ohio,Nova Scotia,45.48,-62.05
Crossburn,Nova Scotia,44.74,-64.81
Crosshill,Ontario,43.53,-80.74
Crossland,Ontario,44.53,-79.91
Crossley Hunter,Ontario,42.85,-81.03
Croton,Ontario,42.61,-82.04
Crouses Settlement,Nova Scotia,44.34,-64.4
Crousetown,Nova Scotia,44.26,-64.48
Crow Harbour,New Brunswick,45.09,-66.62
Crow Head,Newfoundland and Labrador,49.67,-54.79
Crowe Bridge,Ontario,44.38,-77.75
Crowes Landing,Ontario,44.56,-78.06
Crowes Mills,Nova Scotia,45.4,-63.36
Crowland,Ontario,42.98,-79.25
Crown Hill,Ontario,44.43,-79.64
Croydon,Ontario,44.42,-76.97
Crozier,Ontario,48.61,-93.53
Cruickshank,Ontario,44.59,-81.04
Crumlin,Ontario,43.01,-81.14
Crutwell,Saskatchewan,53.21,-106.06
Cryderman Subdivision,Ontario,46.67,-80.74
Crystal,Ontario,44.79,-75.9
Crystal Bay,Ontario,45.35,-75.84
Crystal Bay-Sunset,Saskatchewan,53.55,-108.86
Crystal Falls,Ontario,46.45,-79.88
Crystal Falls,Quebec,46.04,-74.6
Crystal Lake,Saskatchewan,51.85,-102.42
Crystal Rock,Ontario,44.79,-75.49
Crystal Springs,Alberta,52.97,-114.03
Crystal Springs,Ontario,44.22,-78.31
Crystal Springs,Saskatchewan,52.8,-105.36
Cudsaskwa Beach,Saskatchewan,52.65,-105.62
Cullen,Saskatchewan,49.36,-102.95
Cullens Brook,Quebec,48.04,-65.44
Culligan,New Brunswick,47.91,-65.92
Cullite 3,British Columbia,48.59,-124.69
Culloden,Nova Scotia,44.65,-65.83
Culloden,Ontario,42.88,-80.84
Culls Harbour,Newfoundland and Labrador,48.67,-53.94
Culross,Manitoba,49.71,-97.91
Cultus,Ontario,42.63,-80.61
Cumberland 100A,Saskatchewan,53.04,-104.84
Cumberland 20,Saskatchewan,53.93,-102.24
Cumberland Mills,Quebec,46.19,-70.62
Cummings Cove,New Brunswick,44.94,-66.99
Cumnock,Ontario,43.75,-80.45
Cumshewas 7,British Columbia,53.04,-131.69
Cundles,Ontario,44.4,-79.7
Cunningham's Corners,Ontario,44.33,-78.69
Curran,Ontario,45.49,-74.99
Currie,New Brunswick,46.76,-67.58
Currie Heights,Saskatchewan,50.38,-105.55
Currie Road,New Brunswick,46.87,-67.58
Currieburg,New Brunswick,46.3,-66.81
Curries,Ontario,43.06,-80.71
Curry Hill,Ontario,45.2,-74.39
Currys Corner,Nova Scotia,44.97,-64.13
Curryville,New Brunswick,45.83,-64.63
Curtis Park,New Brunswick,47.01,-65.44
Curve Lake 35A,Ontario,44.47,-78.4
Curve Lake First Nation 35,Ontario,44.48,-78.36
Curventon,New Brunswick,47.05,-65.82
Curzon Village,Newfoundland and Labrador,49.51,-57.92
Cushendall,Ontario,44.32,-76.38
Cushing,Quebec,45.59,-74.46
Cuslett,Newfoundland and Labrador,46.96,-54.15
Cutbank,Saskatchewan,51.3,-106.85
Cynthia,Alberta,53.28,-115.42
Cypress Park,British Columbia,49.34,-123.23
Cyr Junction,New Brunswick,47.12,-67.89
Cyrville,Ontario,45.42,-75.63
Daaquam,Quebec,46.58,-70.06
Daaquam-Nord,Quebec,46.61,-70.08
Dablon,Quebec,48.31,-72.16
Dacotah,Manitoba,49.87,-97.63
Dacre,Ontario,45.37,-76.96
Dafoe,Saskatchewan,51.75,-104.52
Dagger Woods,Nova Scotia,45.59,-61.84
Dahinda,Saskatchewan,49.73,-105.05
D'Aiguillon,Quebec,48.82,-64.31
Dain City,Ontario,42.94,-79.24
Dakiulis 7,British Columbia,50.73,-126.56
Dakota Plains,Manitoba,49.81,-98.52
Dakota Plains 6A,Manitoba,49.81,-98.51
Dakota Tipi,Manitoba,49.94,-98.35
Dakota Tipi 1,Manitoba,49.94,-98.34
Dale,Ontario,43.98,-78.29
Dalem Lake,Nova Scotia,46.25,-60.41
D'Alembert,Quebec,48.36,-79.01
Dalemead,Alberta,50.87,-113.63
Dalesville,Quebec,45.7,-74.39
Dalhousie Junction,New Brunswick,48.04,-66.5
Dalhousie Lake,Ontario,44.95,-76.6
Dalhousie Mills,Ontario,45.31,-74.47
Dalibaire-Ouest,Quebec,48.93,-66.88
Dalkeith,Ontario,45.44,-74.57
Dalk-ka-gila-quoeux 2,British Columbia,54.58,-128.66
Dallas,British Columbia,50.66,-120.16
Dallas,Manitoba,51.39,-97.48
Dalroy,Alberta,51.12,-113.66
Dalrymple,Ontario,44.64,-79.1
Dalston,Ontario,44.48,-79.68
Dalton,Ontario,48.15,-84.03
Dalton Mills,Ontario,48.12,-84.07
Dalvay,Prince Edward Island,46.41,-63.06
Daly Grove,Alberta,53.44,-113.39
Damascus,New Brunswick,45.46,-65.8
Damascus,Ontario,43.91,-80.48
Dame-Neuve,Quebec,45.63,-74.35
Dana,Saskatchewan,52.3,-105.7
Danbury,Saskatchewan,52.04,-102.25
Danby,Quebec,45.67,-72.41
Dancaster Courts,Ontario,43.21,-79.98
Dance,Ontario,48.76,-93.67
Dand,Manitoba,49.34,-100.5
Dane,Ontario,48.07,-80.03
Danesville,Nova Scotia,44.18,-64.62
Danford Lake,Quebec,45.92,-76.15
Daniel's Harbour,Newfoundland and Labrador,50.23,-57.58
Daniel's Point,Newfoundland and Labrador,46.75,-53.37
Daningay 12,British Columbia,54.08,-132.57
Danvers,Nova Scotia,44.37,-65.89
Dapp,Alberta,54.34,-113.91
Darby,Quebec,45.41,-72.64
D'Arcy,British Columbia,50.55,-122.48
D'Arcy,Saskatchewan,51.46,-108.53
Darfield,British Columbia,51.3,-120.18
Darling Road,Ontario,42.96,-79.69
Darlingford,Manitoba,49.2,-98.37
Darlings Beach,Saskatchewan,49.97,-107.92
Darlings Lake,Nova Scotia,43.95,-66.13
Darlingside,Ontario,44.36,-75.97
Darlington,New Brunswick,48.05,-66.38
Darlington,Prince Edward Island,46.31,-63.32
Darmody,Saskatchewan,50.71,-106.28
Darrell,Ontario,42.47,-82.18
Dartford,Ontario,44.22,-77.93
Dartmoor,British Columbia,49.24,-122.82
Darwell,Alberta,53.67,-114.59
Dashken 22,British Columbia,54.15,-130.16
Dashwood,British Columbia,49.36,-124.51
Dauphin Beach,Manitoba,51.14,-99.84
Dauphin River,Manitoba,51.95,-98.06
Dauphin River 48A,Manitoba,51.95,-98.05
Dauversière,New Brunswick,47.76,-65.86
Davidson Corner,Quebec,45.5,-75.67
Davidson Hill,Quebec,45.58,-72.37
Davidson Lake,New Brunswick,45.94,-67.13
Davidsons Beach,Ontario,44.36,-76.54
Davie Lake 28,British Columbia,54.53,-122.71
Davies Industrial East,Alberta,53.5,-113.42
Davies Industrial West,Alberta,53.49,-113.45
Davin,Saskatchewan,50.38,-104.1
Davis,Saskatchewan,53.11,-105.65
Davis Bay,British Columbia,49.43,-123.73
Davis Lock,Ontario,44.56,-76.28
Davis Mill,New Brunswick,47.185,-67.87
Davis Mills,Ontario,45.75,-77.2
Davisville,Ontario,43.7,-79.38
Dawn Mills,Ontario,42.58,-82.12
Dawn Valley,Ontario,42.65,-82.22
Dawn-Euphemia,Ontario,42.7,-82.06
Dawson Bay,Manitoba,52.97,-100.97
Dawson Settlement,New Brunswick,45.94,-64.75
Dawsonville,New Brunswick,47.93,-66.89
Day Hill,New Brunswick,45.97,-67.14
Day Mills,Ontario,46.29,-83.35
Day Star 87,Saskatchewan,51.53,-104.26
Day's Beach,Saskatchewan,53.05,-108.34
Dayspring,Nova Scotia,44.37,-64.47
Dayton,Nova Scotia,43.87,-66.1
Dayton,Ontario,46.25,-83.35
Daytonia Beach,Ontario,44.48,-78.73
Daytown,Ontario,44.63,-76.1
De Beaujeu,Quebec,45.32,-74.33
De Forceville,Quebec,48.52,-64.35
De Grasse,Quebec,50.21,-66.21
De Grassi Point,Ontario,44.25,-79.52
De Lesseps,Quebec,46.12,-74.56
De Quen-Nord,Quebec,48.33,-72.12
De Saint-Just,Quebec,47.45,-70
De Winton,Alberta,50.82,-114.01
Deacon,Ontario,45.6,-77.37
Deacons Corner,Manitoba,49.82,-96.93
Dead Creek,New Brunswick,45.87,-67.51
Dead Islands,Newfoundland and Labrador,52.79,-55.83
Dead Point 5,British Columbia,50.59,-126.59
Deadmans Cove,Newfoundland and Labrador,51.25,-56.78
Deadmans Harbour,New Brunswick,45.05,-66.76
Dean,Nova Scotia,45.19,-62.88
Dean Lake,Ontario,46.21,-83.15
Deanlea Beach,Ontario,44.61,-79.99
Deans Corner,Nova Scotia,44.39,-64.33
Dearlock,Ontario,48.84,-94.09
Dease Lake 9,British Columbia,58.47,-130.02
Dease River 1,British Columbia,59.28,-129.28
Dease River 2 (Dease),British Columbia,59.42,-129.17
Dease River 2 (Liard),British Columbia,59.65,-129.12
Dease River 3 (Dease),British Columbia,59.6,-129.23
Dease River 3 (Liard),British Columbia,59.31,-129.03
Dease River 4,British Columbia,59.67,-129.16
Deauville,Quebec,45.34,-72.03
DeBaies Cove,Nova Scotia,44.75,-62.81
Debert Lake,Nova Scotia,45.59,-63.46
Debert Range,Nova Scotia,45.44,-63.47
DeCew Falls,Ontario,43.1,-79.26
Decewsville,Ontario,42.93,-79.91
Decker,Manitoba,50.27,-100.78
Deckers Hill,Ontario,43.86,-79.08
Dedagaus 8,British Columbia,51.11,-127.51
Dee Bank,Ontario,45.17,-79.52
Deemerton,Ontario,44.04,-81.07
Deena 3,British Columbia,53.14,-132.12
Deep Bay,British Columbia,49.46,-124.71
Deep Bay,Newfoundland and Labrador,49.67,-54.29
Deep Bay,Ontario,44.85,-78.79
Deep Cove,British Columbia,49.005,-123.205
Deep Cove,New Brunswick,44.61,-66.86
Deep Cove,Nova Scotia,44.53,-64.1
Deep Creek,British Columbia,50.61,-119.21
Deep Creek 2,British Columbia,52.26,-122.08
Deep Creek 5,British Columbia,53.29,-123.13
Deep Valley 5,British Columbia,50.37,-124.93
Deepdale,Nova Scotia,46.21,-61.28
Deer Bay,Ontario,44.54,-78.27
Deer Harbour,Newfoundland and Labrador,48.13,-53.56
Deer Ridge,Alberta,52.28,-113.83
Deer Run,Alberta,50.91,-114
Deer Valley,Saskatchewan,50.58,-104.88
Deerbrook,Ontario,42.29,-82.62
Deerfield,Nova Scotia,43.95,-65.99
Deerhorn,Manitoba,50.77,-98.04
Deerhurst,Ontario,44.18,-79.58
Deerville,New Brunswick,46.29,-67.66
Defence Island 28,British Columbia,49.57,-123.27
Defoy,Quebec,46.14,-72.13
Dejong,Ontario,43,-81.76
Del Ray,Ontario,43.7,-79.48
Delaps Cove,Nova Scotia,44.76,-65.63
Delaware West,Ontario,42.9,-81.43
Delbrook,British Columbia,49.35,-123.08
Déléage,Quebec,46.38,-75.91
Deleau,Manitoba,49.58,-100.57
Delhaven,Nova Scotia,45.2,-64.37
Delisle's Corners,Ontario,42.18,-83.01
Delkatla,British Columbia,54.01,-132.13
Delmer,Ontario,42.87,-80.79
Delnite,Ontario,48.43,-81.29
Delrex,Ontario,43.64,-79.91
Delson,Quebec,45.36,-73.55
Delta Beach,Manitoba,50.18,-98.32
Delton,Alberta,53.56,-113.46
Del-Val,Quebec,49.08,-66.74
Delwood,Alberta,53.6,-113.43
Demaine,Saskatchewan,50.88,-107.25
Demers,Quebec,45.84,-77.06
Demers-Centre,Quebec,45.86,-77.06
Demoiselle Creek,New Brunswick,45.85,-64.65
Dempseys Corner,Nova Scotia,45.05,-64.84
Denfield,Ontario,43.12,-81.43
Denholm,Quebec,45.81,-75.75
Denholm,Saskatchewan,52.65,-108.01
Denison Mills,Quebec,45.74,-72.1
Denmark,Nova Scotia,45.7,-63.15
Dennis,New Brunswick,46.89,-66
Dennis Hill,Newfoundland and Labrador,47.6,-59.17
Dentville,British Columbia,49.71,-123.15
Denver,Nova Scotia,45.33,-62.1
Departure Bay,British Columbia,49.2,-123.96
Departure Lake,Ontario,49.28,-81.79
Depot Harbour,Ontario,45.31,-80.09
Dépôt-des-Loutres,Quebec,49.5,-72.17
Derby,New Brunswick,46.88,-65.65
Derby Junction,New Brunswick,46.95,-65.59
Dereham Centre,Ontario,42.92,-80.81
Dermid,Ontario,48.67,-93.73
Deroche,British Columbia,49.18,-122.06
Derry West,Ontario,43.64,-79.7
Derrynane,Ontario,43.94,-80.58
Derryville,Ontario,44.32,-79.08
Des Ormeaux,Quebec,46.33,-72.51
Des Rivières,Quebec,45.15,-73.05
Désaulniers,Ontario,46.55,-80.1
Desboro,Ontario,44.39,-80.98
Deschambault-Grondines,Quebec,46.65,-71.93
Deschambault-Station,Quebec,46.66,-71.94
Descharme Lake,Saskatchewan,57.1,-109.21
Deschênes,Quebec,45.38,-75.8
D'Escousse,Nova Scotia,45.58,-60.96
Desert Lake,Ontario,44.51,-76.59
Desherbiers,New Brunswick,46.64,-65.22
Desjardins,Quebec,46.8,-71.18
Desjardins Road,New Brunswick,47,-67.68
Desjardinsville,Quebec,45.84,-77.12
Desmaraisville,Quebec,49.5,-76.18
Desmond,Ontario,44.39,-76.84
Despinassy,Quebec,48.76,-77.44
Després-Village,New Brunswick,46.4,-64.65
Destor,Quebec,48.45,-78.95
Detlor,Ontario,45.03,-77.73
Deuxième-Sault,New Brunswick,47.45,-68.23
Deux-Montagnes,Quebec,45.53,-73.88
Devault,Quebec,46.29,-72.91
Développement-Blais,Quebec,45.44,-71.78
Développement-de-Sainte-Clotilde,Quebec,45.94,-72.23
Développement-la-Terre,Quebec,45.8,-71.82
Développement-Malaga,Quebec,45.25,-72.26
Développement-Nadeau,Quebec,45.31,-71.8
Développement-Quatre-Saisons,Quebec,45.25,-72.27
Développement-Webster,Quebec,45.26,-72.26
Devereaux,New Brunswick,47.82,-65.73
Devil's Gate 220,Alberta,58.8,-111.21
Devine,British Columbia,50.51,-122.48
Devine Corner,New Brunswick,45.54,-65.54
Devizes,Ontario,43.16,-81.22
Devon 30,New Brunswick,46,-66.6
Dewar Lake,Saskatchewan,51.63,-109.63
Dewars,Ontario,45.47,-76.47
Dewdney,British Columbia,49.16,-122.2
DeWitts Corners,Ontario,44.84,-76.36
Dewittville,Quebec,45.11,-74.09
DeWolfe,New Brunswick,45.33,-67.28
Dexter,Ontario,42.67,-81.12
Diamond,Nova Scotia,45.63,-62.97
Diamond City,Alberta,49.79,-112.83
Diamond Cove,Alberta,50.94,-114.02
Dickie Mountain,New Brunswick,45.63,-65.73
Dickson,Alberta,52.05,-114.3
Dickson Hill,Ontario,43.94,-79.27
Dieppe Place,Saskatchewan,50.45,-104.67
Digby Corner,New Brunswick,46.38,-67.76
Digdeguash,New Brunswick,45.18,-66.96
Diligent River,Nova Scotia,45.41,-64.45
Dillabough,Saskatchewan,52.55,-102.76
Dil-ma-sow 5,British Columbia,52.72,-128.98
Dingwall,Nova Scotia,46.89,-60.46
Dinorwic,Ontario,49.69,-92.49
Dipper Harbour East,New Brunswick,45.1,-66.42
Dipper Harbour West,New Brunswick,45.09,-66.42
Dipper Rapids 192C,Saskatchewan,55.91,-107.38
Dirleton,Ontario,45.49,-76.14
Discovery Island 3,British Columbia,48.42,-123.24
Discovery Ridge,Alberta,51.03,-114.19
Disley,Saskatchewan,50.64,-105.04
District of West Kelowna,British Columbia,49.83,-119.62
Ditton,Quebec,45.41,-71.25
Divide,New Brunswick,46.54,-67.34
Divide,Saskatchewan,49.15,-109.13
Dixie,Ontario,43.72,-79.36
Dixon,Ontario,45.08,-74.97
Dixon,Saskatchewan,52.2,-105.21
Dixons Corners,Ontario,44.92,-75.35
Dlah Koh 31,British Columbia,55.03,-125.1
Doak Settlement,New Brunswick,45.9,-66.62
Dobbinton,Ontario,44.39,-81.13
Dobie,Ontario,48.13,-79.82
Dobsons Corner,New Brunswick,46.03,-65.21
Doctors Brook,Nova Scotia,45.77,-62.12
Doctors Cove,Nova Scotia,43.51,-65.63
Dodge Cove,British Columbia,54.28,-130.38
Doe Lake,Ontario,45.55,-79.42
Dog Creek 1,British Columbia,51.58,-122.2
Dog Creek 2,British Columbia,51.6,-122.08
Dog Creek 3,British Columbia,51.61,-122.06
Dog Creek 4,British Columbia,51.6,-122.3
Dog Creek 46,Manitoba,50.91,-98.56
Dog Head 218,Alberta,58.71,-111.18
Dogs Nest,Ontario,42.8,-80.16
Dogwood,Newfoundland and Labrador,48.95,-57.83
Doheny,Quebec,47.07,-72.59
Doig River,British Columbia,56.57,-120.49
Doig River 206,British Columbia,56.56,-120.5
Dokie Siding,British Columbia,55.65,-121.73
Dokis,Ontario,46.13,-80.03
Dokis 9,Ontario,46.06,-80.04
Dolbeau,Quebec,48.88,-72.23
Dollard,Saskatchewan,49.61,-108.58
Dollard-Des Ormeaux,Quebec,45.48,-73.81
Dollarton,British Columbia,49.31,-122.95
Dolphin Beach,British Columbia,49.3,-124.15
Dolphin Island 1,British Columbia,53.78,-130.43
Domain,Manitoba,49.61,-97.32
Domaine-à-Martin,Quebec,45.44,-74.34
Domaine-Bastien,Quebec,45.95,-74.28
Domaine-Beauchesne,Quebec,46.48,-73.27
Domaine-Beaumont,Quebec,45.51,-74.1
Domaine-Belle-Rivière,Quebec,46.14,-74.48
Domaine-Boisvert,Quebec,45.82,-71.63
Domaine-Brunet,Quebec,45.45,-74.33
Domaine-Cloutier,Quebec,45.75,-74.06
Domaine-Condor,Quebec,45.76,-71.86
Domaine-de-la-Châtelaine,Quebec,45.93,-74.32
