,Municipality,Longitude,Latitude
1861,Burchell Lake,-90.59,48.6
1862,Burchills Flats,-65.57,45.37
1863,Burdick Range,-105.38,50.4
1864,Burditt Lake,-93.8,48.92
1865,Burgerville,-75.84,46.17
1866,Burgess Mines,-77.7,45.26
1867,Burgess Settlement,-67.56,47.08
1868,Burgessville,-80.65,43.02
1869,Burgis Beach,-102.62,51.54
1870,Burgoyne,-81.31,44.43
1871,Burin Bay,-55.17,47.02
1872,Burin Bay Arm,-55.19,47.08
1873,Burke Settlement,-76.73,44.85
1874,Burketon Station,-78.79,44.05
1875,Burkeville,-123.15,49.18
1876,Burks Corners,-75.15,45.67
1877,Burleigh Falls,-78.21,44.56
1878,Burlington Beach,-79.8,43.3
1879,Burnaby Heights,-123.0,49.28
1880,Burnbrae,-77.7,44.32
1881,Burnet,-75.85,45.56
1882,Burnhamthorpe,-79.59,43.62
1883,Burnley,-78.0,44.15
1884,Burns,-80.84,43.63
1885,Burns Lake 18,-125.76,54.23
1886,Burnside,-110.73,50.04
1889,Burnside Heights,-110.75,50.05
1890,Burnstick Lake,-114.89,51.98
1891,Burnstown,-76.57,45.38
1892,Burnsville,-65.14,47.7
1893,Burnt Church,-65.14,47.19
1894,Burnt Cliff Islands 20,-130.46,54.49
1895,Burnt Cove,-52.85,47.19
1896,Burnt Creek,-66.88,54.81
1897,Burnt Hill,-67.34,45.17
1898,Burnt Hills,-76.3,44.45
1899,Burnt Island,-54.7,47.38
1901,Burnt Islands,-58.87,47.61
1902,Burnt Point,-53.03,47.95
1903,Burnt River,-78.69,44.67
1904,Burnt Stump,-53.15,47.39
1905,Burnt Village,-55.98,51.16
1906,Burntcoat,-63.79,45.31
1907,Burntland Brook,-67.33,46.99
1908,Burpee,-82.57,45.78
1909,Burpee and Mills,-82.59,45.79
1910,Burpees Corner,-66.33,45.86
1911,Burquitlam,-122.88,49.26
1912,Burr,-77.38,44.04
1914,Burrard Inlet 3,-122.97,49.3
1915,Burridge,-76.54,44.65
1916,Burriss,-93.67,48.67
1917,Burritts Rapids,-75.79,44.98
1918,Burrows,-102.13,50.31
1919,Burtch,-80.26,43.06
1920,Burtons Cove,-56.86,49.55
1921,Burwash,-80.85,46.23
1922,Burys Green,-78.67,44.61
1923,Bush Glen,-75.09,45.04
1924,Bush Island,-64.37,44.23
1925,Bushe River 207,-116.97,58.48
1926,Bushville,-65.51,47.01
1927,Busy Bee Corners,-83.03,42.09
1928,Butchers,-53.37,47.87
1929,Butler,-101.36,49.79
1930,Butte-D'Or,-65.2,47.54
1931,Butter Cove,-53.64,48.02
1932,Buttermilk Falls,-78.74,45.09
1933,Butternut Bay,-75.78,44.51
1934,Buttonville,-79.36,43.86
1935,Buzwah,-81.78,45.75
1936,Byemoor,-112.28,51.97
1937,Byers Lake,-63.41,45.59
1938,Byersville,-78.35,44.28
1939,Byng,-79.62,42.89
1940,Byng Inlet,-80.55,45.76
1941,Byrnedale,-82.66,42.24
1942,Byron,-81.33,42.95
1943,Cabbagetown,-79.36,43.66
1944,Cache Bay,-79.98,46.37
1945,Cachet,-79.34,43.88
1946,Cacouna Indian Reserve 22,-69.5,47.91
1947,Cacouna-Est,-69.42,47.99
1948,Cacouna-Station,-69.45,47.89
1949,Cacouna-Sud,-69.46,47.94
1950,Cadboro Bay,-123.3,48.46
1951,Caderette,-80.03,46.37
1952,Cadman Corner,-64.02,46.17
1953,Cadmus,-78.76,44.11
1954,Cadogan,-110.44,52.31
1955,Caernarvon,-113.52,53.61
1956,Caesarea,-78.83,44.15
1957,Cahill Point,-52.69,47.56
1958,Cahoose 10,-125.41,52.58
1959,Cahoose 12,-125.65,52.91
1960,Cahoose 8,-125.68,52.87
1961,Cahore,-75.19,45.17
1962,Cails Mills,-65.14,46.48
1963,Cains Island,-58.69,47.6
1964,Cains Mountain,-60.91,45.98
1965,Cains Point,-65.1,47.34
1966,Cainsville,-80.19,43.14
1967,Caintown,-75.88,44.52
1968,Cairngorm,-81.66,42.9
1969,Cairo,-81.89,42.7
1970,Caissie Cape,-64.53,46.33
1971,Caissie-Village,-64.75,46.57
1972,Caistor Centre,-79.65,43.07
1973,Caistorville,-79.71,43.05
1974,Caithness,-115.16,49.31
1976,Calais,-117.53,55.07
1977,Calamity Corners,-81.28,43.02
1978,Calderbank,-106.85,50.61
1979,Calderwood,-80.86,44.01
1980,Caldwell,-67.69,47.06
1982,Caledon East,-79.86,43.86
1983,Caledonia Front,-74.72,45.54
1984,Caledonia Mills,-61.79,45.48
1985,Caledonia Mountain,-64.8,45.85
1986,Caledonia Springs,-74.8,45.54
1987,Calhoun,-64.58,46.06
1988,Caliento,-96.41,49.13
1989,California,-76.375,44.875
1990,Californie,-73.23,46.34
1991,Caliper Lake,-93.89,49.06
1992,Calixa-Lavallée,-73.28,45.75
1993,Callingwood North,-113.62,53.5
1994,Callingwood South,-113.62,53.5
1995,Call's Mills,-72.61,45.18
1996,Callum,-80.62,46.51
1997,Calton,-80.85,42.71
1998,Calumet,-74.63,45.65
1999,Calvin,-78.91,46.25
2000,Calvin Park,-76.52,44.23
2001,Calway,-70.81,46.27
2002,Camborne,-78.21,44.03
2003,Cambria,-112.59,51.39
2004,Cambrian Heights,-114.08,51.08
2006,Cambridge Forest Estates,-75.25,45.35
2007,Camden,-63.18,45.3
2008,Camel Chute,-77.11,45.18
2009,Camelot Beach,-79.3,42.87
2010,Cameron,-78.43,44.38
2011,Cameron Bar 13,-121.67,50.39
2012,Cameron Falls,-88.34,49.15
2013,Cameron Heights,-124.8,49.21
2014,Cameron Settlement,-62.49,45.28
2015,Camerons Mill,-65.1,46.67
2016,Camerons Point,-74.53,45.07
2017,Camilla,-80.11,43.99
2018,Camlachie,-82.16,43.03
2019,Camp Bay,-55.65,52.16
2020,Camp Bigwee,-80.11,47.01
2021,Camp Boggy,-55.8,47.98
2022,Camp Cayuga,-80.11,47.0
2023,Camp Champlain,-79.29,46.32
2024,Camp Chimo,-80.08,46.92
2025,Camp des Forces canadiennes Chilcotin,-122.55,52.08
2026,Camp des Forces canadiennes Nanaimo,-123.98,49.15
2027,Camp des Forces canadiennes Vernon,-119.28,50.24
2028,Camp Harmony,-66.95,47.89
2029,Camp Kagawong,-78.82,44.55
2030,Camp Oconto,-76.68,44.69
2031,Camp Robinson,-93.22,50.13
2032,Camp Wanapitei,-80.06,47.16
2033,Camp White Bear,-80.14,46.87
2034,Campania,-80.3,43.98
2035,Campbell Hill,-62.9,45.63
2036,Campbell Island,-128.14,52.16
2037,Campbell River 11,-125.25,50.03
2038,Campbell Settlement,-66.86,45.91333333
2039,Campbellcroft,-78.37,44.06
2040,Campbells Beach,-79.11,44.61
2041,Campbells Corners,-75.56,44.9
2042,Campbells Cross,-79.86,43.78
2043,Campbelltown,-78.23,44.21
2044,Campbellville,-79.98,43.48
2045,Campden,-79.43,43.13
2046,Camper,-98.26,51.07
2047,Camperdown,-64.6,44.26
2049,Camperville,-100.14,51.98
2050,Campobello Island,-66.91,44.88
2051,Camp-Ouareau,-74.11,46.25
2052,Camsell Lake 30,-124.85,54.51
2053,Camsell Portage,-109.27,59.61
2054,Cana,-102.65,50.88
2055,Canaan,-65.06,46.24
2058,Canaan Forks,-65.54,46.05
2059,Canaan Rapids,-65.74,45.93
2060,Canaan Road,-65.34,46.03
2061,Canada Creek,-64.74,45.16
2062,Canada Hill,-65.12,43.8
2063,Canadian Forces Base Bagotville,-70.98,48.32
2064,Canadian Forces Base Borden,-79.91,44.26
2065,Canadian Forces Base Chilliwack,-121.96,49.1
2066,Canadian Forces Base Cold Lake,-110.27,54.4
2067,Canadian Forces Base Comox,-124.9,49.71
2068,Canadian Forces Base Esquimalt,-123.42,48.43
2069,Canadian Forces Base Gagetown,-66.45,45.83
2070,Canadian Forces Base Goose Bay,-60.41,53.3
2071,Canadian Forces Base Greenwood,-64.92,44.98
2072,Canadian Forces Base Halifax,-63.58,44.65
2073,Canadian Forces Base Kingston,-76.44,44.24
2074,Canadian Forces Base Montréal,-73.42,45.5
2075,Canadian Forces Base Moose Jaw,-105.55,50.34
2076,Canadian Forces Base North Bay,-79.41,46.35
2077,Canadian Forces Base Petawawa,-77.29,45.91
2078,Canadian Forces Base Shilo,-99.63,49.8
2079,Canadian Forces Base Suffield,-111.17,50.27
2080,Canadian Forces Base Trenton,-77.54,44.11
2081,Canadian Forces Base/Area Support Unit Valcartier,-71.55,46.96
2082,Canadian Forces Camp Chilcotin,-122.55,52.08
2083,Canadian Forces Camp Nanaimo,-123.98,49.15
2084,Canadian Forces Camp Vernon,-119.28,50.24
2085,Canadian Forces Station Aldergrove,-122.48,49.07
2086,Canadian Forces Station Flin Flon,-101.97,54.72
2087,Canadian Forces Station Holberg,-128.07,50.66
2088,Canadian Forces Station Leitrim,-75.58,45.33
2089,Canadian Forces Station Masset,-132.1,54.02
2090,Canadian Forces Station St. John's,-52.67,47.58
2091,Canadian Heights,-64.83,46.11
2092,Canal,-66.82,45.15
2094,Canard,-64.43,45.13
2095,Canborough,-79.67,42.99
2096,Candiac,-73.51,45.38
2098,Candyville,-80.98,42.69
2099,Cane,-80.06,47.62
2100,Canfield,-79.75,42.97
2101,Canim Lake,-120.9,51.76
2102,Canim Lake 1,-121.0,51.78
2103,Canim Lake 2,-121.12,51.74
2104,Canim Lake 3,-121.21,51.77
2105,Canim Lake 4,-121.47,51.79
2106,Canim Lake 5,-120.63,51.88
2107,Canim Lake 6,-120.61,51.9
2108,Cankerville,-77.76,44.06
2109,Cann,-73.88,47.9
2110,Cannamore,-75.24,45.19
2111,Cannes-de-Roches,-64.29,48.54
2112,Cannifton,-77.39,44.2
2113,Cannington Lake,-102.16,49.78
2114,Canobie,-65.36,47.68
2115,Canobie South,-65.33,47.67
2116,Canoe,-119.23,50.75
2117,Canoe Creek 1,-122.15,51.46
2118,Canoe Creek 2,-122.05,51.43
2119,Canoe Creek 3,-122.25,51.53
2120,Canoe Lake,-78.72,45.57
2121,Canoe Lake 165,-108.19,55.12
2122,Canoe Lake 165A,-108.39,55.15
2123,Canoe Lake 165B,-108.11,55.18
2124,Canonto,-76.77,45.06
2125,Canoona 2,-128.58,53.07
2126,Canoose,-67.35,45.37
2127,Canopus,-106.2,49.2
2128,Cantal,-101.93,49.43
2129,Cantin Lake,-95.15,53.42
2130,Cantley,-75.78,45.56
2131,Canton-Arnaud,-66.5,50.24
2132,Canton-Jetté,-67.56,48.26
2133,Canton-Pelletier,-72.3,49.01
2134,Canton-Tremblay,-71.1,48.48
2135,Cantuar,-108.0,50.38
2136,Canuck,-108.21,49.2
2137,Canupawakpa Dakota First Nation,-100.93,49.62
2138,Canyon,-116.45,49.08
2139,Canyon Alpine,-121.44,49.91
2140,Canyon Creek,-115.09,55.37
2141,Canyon Heights,-123.1,49.35
2142,Canyon Lake (Ormonde Lake) 7,-124.69,54.18
2143,Canyon Meadows,-114.08,50.95
2144,Cap La Ronde,-60.91,45.57
2145,Cap Le Moine,-61.07,46.49
2146,Cap-à-la-Baleine,-67.25,48.91
2147,Cap-à-la-Branche,-70.43,47.38
2148,Cap-à-l'Aigle,-70.1,47.66
2149,Cap-à-l'Orignal,-68.8,48.35
2150,Cap-au-Renard,-66.24,49.19
2151,Cap-aux-Corbeaux,-70.46,47.43
2152,Cap-aux-Oies,-70.24,47.49
2153,Cap-aux-Os,-64.34,48.83
2154,Cap-Bateau,-64.53,47.81
2155,Cap-Bon-Ami,-64.22,48.81
2156,Cap-Brûlé,-64.48,46.23
2157,Cap-Chat-Est,-66.66,49.1
2158,Cap-de-Cocagne,-64.55,46.35
2159,Cap-de-Saint-Louis,-64.91,46.75
2160,Cap-des-Caissie,-64.53,46.33
2161,Cap-d'Espoir,-64.32,48.42
2162,Cap-des-Rosiers,-64.21,48.86
2163,Cap-des-Rosiers-Est,-64.21,48.84
2164,Cape Auguet,-61.02,45.48
2165,Cape Chin,-81.31,45.06
2166,Cape Cove,-64.33,48.43
2167,Cape Croker Hunting Ground 60B,-81.48,45.18
2168,Cape Dauphin,-60.41,46.32
2169,Cape Enrage,-64.78,45.62
2170,Cape Forchu,-66.15,43.8
2171,Cape Freels North,-53.5,49.26
2172,Cape George Point,-61.9,45.86
2173,Cape Jack,-61.56,45.68
2174,Cape John,-63.09,45.79
2175,Cape Mudge 10,-125.18,50.0
2176,Cape Negro,-65.45,43.55
2177,Cape North,-60.5,46.88
2178,Cape Smokey,-60.39,46.6
2179,Cape Spear,-63.81,46.08
2180,Cape Spencer,-65.9,45.19
2181,Cape St. Marys,-66.2,44.08
2182,Cape Station,-64.6,45.8
2183,Capelton,-71.9,45.31
2184,Cap-Gaspé,-64.17,48.75
2185,Capilano,-113.43,53.55
2186,Capilano 5,-123.13,49.32
2187,Capilano Highlands,-123.1,49.35
2188,Capitol Hill,-114.1,51.06
2190,Caplan-Ouest,-65.73,48.13
2191,Caplin Cove,-53.35,48.02
2192,Cap-Lumière,-64.7,46.65
2193,Cappahayden,-52.94,46.86
2194,Cap-Pelé,-64.26,46.21
2195,Cap-Rouge,-71.35,46.75
2196,Cap-Saint-Ignace-Station,-70.44,47.03
2197,Cap-Saint-Jacques,-73.91,45.46
2198,Cap-Santé,-71.78,46.66
2199,Caps-de-Maria,-66.04,48.12
2200,Cap-Seize,-66.39,49.01
2201,Caps-Saint-Fidèle,-69.99,47.71
2202,Capstan Island,-56.73,51.57
2203,Capstick,-60.5,47.0
2204,Capucins,-66.84,49.05
2205,Caradoc,-81.52,42.91
2206,Carbondale,-113.52,53.74
2207,Carcajou,-117.04,57.76
2208,Cardale,-100.32,50.23
2209,Cardigan,-66.78,46.14
2211,Cardinal Heights,-75.6,45.44
2212,Cardross,-105.61,49.81
2213,Cardwell,-80.09,43.97
2214,Carey,-97.05,49.44
2215,Cargill,-81.24,44.19
2216,Cariboo,-122.88,49.25
2217,Caribou,-62.69,45.73
2218,Caribou Heights,-105.58,50.4
2219,Caribou Island,-62.71,45.75
2220,Caribou Marsh,-60.2,46.04
2221,Caribou Marsh 29,-60.21,46.05
2222,Caribou Mines,-62.94,45.05
2223,Caribou River,-62.83,45.75
2224,Carignan,-73.045,46.385
2225,Carillon,-74.37,45.56
2226,Carlea,-103.9,53.15
2227,Carleton,-65.92,44.0
2228,Carleton Corner,-65.28,44.83
2229,Carleton Heights,-75.7,45.35
2230,Carleton Square,-75.71,45.36
2231,Carleton Square Industrial,-113.6,53.57
2232,Carleton Village,-65.33,43.66
2233,Carleton-Ouest,-66.17,48.11
2234,Carley,-79.63,44.6
2235,Carleys Corner,-75.8,44.86
2236,Carlin,-74.52,45.74
2237,Carling,-80.195,45.415
2238,Carlingford,-67.75,46.74
2240,Carlington,-75.73,45.37
2241,Carlingwood,-75.76,45.37
2242,Carlow,-67.51,46.51
2244,Carlow/Mayo,-77.62,45.14
2245,Carlowrie,-96.96,49.25
2246,Carlsbad Springs,-75.45,45.36
2247,Carlsruhe,-81.04,44.1
2248,Carlton,-106.5,52.83
2249,Carlton Park,-79.21,43.19
2250,Carluke,-79.98,43.14
2251,Carlyon,-79.49,44.72
2252,Carm Creek 38,-129.78,54.61
2253,Carmanah 6,-124.74,48.61
2254,Carmel,-78.205,44.1
2257,Carmichael,-108.64,50.04
2258,Carmunnock,-81.13,43.6
2259,Carnarvon,-78.69,45.05
2260,Carnegie Beach,-78.86,44.19
2261,Carol Richard Park,-81.01,46.62
2262,Caroline Village,-76.25,44.89
2263,Caron,-79.08,48.24
2265,Caron Brook,-68.58,47.28
2266,Carp Lake 3,-123.41,54.77
2267,Carp South 7,-123.29,54.69
2268,Carpenter,-66.06,45.67
2269,Carpenter Mountain 15,-121.95,52.18
2270,Carpin Beach,-84.45,46.5
2271,Carr,-79.66,46.01
2272,Carragana,-103.1,52.58
2273,Carrick,-96.05,49.24
2274,Carrier Lake 15,-123.88,54.52
2275,Carroll,-100.03,49.6
2277,Carroll Ridge,-67.46,45.85
2278,Carrolls Corner,-63.38,45.01
2279,Carrolls Cove,-55.7,52.16
2280,Carrolls Crossing,-66.24,46.52
2281,Carron Point,-65.6,47.64
2282,Carrot River 29A,-102.87,53.49
2283,Carrs,-119.46,50.11
2284,Carrs Brook,-63.94,45.39
2285,Carr's Landing,-80.76,43.66
2286,Carruthers,-109.26,52.86
2287,Carrville,-79.45,43.84
2288,Carry The Kettle 76-18,-103.69,50.59
2289,Carry The Kettle 76-19,-103.73,50.53
2290,Carry The Kettle 76-20,-103.4,50.43
2291,Carry The Kettle 76-21,-103.48,50.44
2292,Carry The Kettle 76-22,-103.21,50.46
2293,Carry The Kettle 76-23,-103.69,50.67
2294,Carry The Kettle 76-24,-103.18,50.5
2295,Carry The Kettle 76-25,-103.52,50.66
2296,Carry The Kettle 76-35,-103.27,50.54
2297,Carry The Kettle 76-36,-103.16,50.49
2298,Carry The Kettle 76-37,-108.58,50.88
2299,Carry The Kettle 76-38,-108.6,50.85
2300,Carry The Kettle 76-40,-103.35,50.32
2301,Carry The Kettle 76-41,-103.28,50.44
2302,Carry The Kettle 76-42,-103.24,50.45
2303,Carry The Kettle 76-43,-103.35,50.31
2304,Carry The Kettle 76-48,-103.58,50.4
2305,Carry The Kettle 76-59,-103.57,50.53
2306,Carry The Kettle 76-67,-103.63,50.29
2307,Carry The Kettle Nakoda 76-30,-103.09,50.48
2308,Carry The Kettle Nakoda 76-45,-103.19,50.5
2309,Carry The Kettle Nakoda 76-49,-103.17,50.5
2310,Carry The Kettle Nakoda 76-5,-103.13,50.48
2311,Carry The Kettle Nakoda 76-50,-103.16,50.5
2312,Carry The Kettle Nakoda 76-53,-103.36,50.53
2313,Carry The Kettle Nakoda 76-54,-103.32,50.31
2314,Carry The Kettle Nakoda 76-55,-103.28,50.33
2315,Carry The Kettle Nakoda 76-57,-103.5,50.44
2316,Carry The Kettle Nakoda 76-58,-103.48,50.42
2317,Carry The Kettle Nakoda 76-60,-103.69,50.56
2318,Carry The Kettle Nakoda 76-63,-103.71,50.56
2319,Carry The Kettle Nakoda 76-64,-103.59,50.54
2320,Carry The Kettle Nakoda 76-9,-103.24,50.44
2321,Carry The Kettle Nakoda First Nation 76-10,-103.27,50.44
2322,Carry The Kettle Nakoda First Nation 76-11,-103.38,50.44
2323,Carry The Kettle Nakoda First Nation 76-12,-103.22,50.45
2324,Carry The Kettle Nakoda First Nation 76-13,-103.66,50.27
2325,Carry The Kettle Nakoda First Nation 76-14,-103.16,50.5
2326,Carry The Kettle Nakoda First Nation 76-15,-103.55,50.4
2327,Carry The Kettle Nakoda First Nation 76-17,-103.68,50.6
2328,Carry The Kettle Nakoda First Nation 76-29,-103.54,50.5
2329,Carry The Kettle Nakoda First Nation 76-3,-103.38,50.45
2330,Carry The Kettle Nakoda First Nation 76-31,-103.65,50.66
2331,Carry The Kettle Nakoda First Nation 76-32,-103.69,50.67
2332,Carry The Kettle Nakoda First Nation 76-33,-108.62,50.9
2333,Carry The Kettle Nakoda First Nation 76-34,-103.62,50.45
2334,Carry The Kettle Nakoda First Nation 76-4,-103.39,50.44
2335,Carry The Kettle Nakoda First Nation 76-6,-103.18,50.46
2336,Carry The Kettle Nakoda First Nation 76-7,-109.98,49.56
2337,Carry The Kettle Nakoda First Nation 76-8,-103.31,50.31
2338,Carry The Kettle Nakota First Nation 76-1,-103.27,50.32
2339,Carry The Kettle Nakota First Nation 76-2,-103.23,50.33
2340,Carrying Place,-77.58,44.04
2341,Carson Grove,-75.62,45.43
2342,Carsonby,-75.71,45.17
2343,Carsoosat 17,-124.94,54.67
2344,Carters Corners,-89.47,48.38
2345,Carters Point,-66.17,45.38
2346,Carterton,-83.95,46.19
2347,Carthage,-80.85,43.66
2348,Carthew Bay,-79.42,44.52
2349,Carvel,-114.21,53.53
2350,Carvell,-67.77,46.36
2351,Casa Rio,-106.64,52.03
2352,Cascade Heights,-123.01,49.25
2353,Cascades,-75.87,45.58
2354,Cascapédia–Saint-Jules,-65.91,48.25
2355,Casdeded 8,-126.61,55.3
2356,Case Settlement,-65.73,45.68
2357,Casey,-79.56,47.62
2359,Casey Corner,-64.54,45.02
2360,Cashel,-79.32,43.91
2361,Cashions Glen,-74.68,45.1
2362,Cashtown Corners,-80.07,44.33
2363,Casimiel Meadows 15A,-125.46,52.66
2364,Casimir,-80.4,46.33
2365,Casino,-117.66,49.05
2366,Caslan,-112.51,54.63
2367,Cass Bridge,-75.31,45.04
2368,Cassburn,-74.7,45.58
2369,Cassel,-80.76,43.28
2370,Cassidy,-123.88,49.05
2371,Cassilis,-65.76,46.94
2372,Cassimayooks 5,-115.56,49.49
2373,Cassin,-122.81,49.27
2374,Castagnier,-77.82,48.73
2375,Castaway,-65.72,46.29
2376,Castile,-77.32,45.49
2377,Castle Bay,-60.67,45.91
2378,Castle Glen Estates,-80.32,44.46
2379,Castle Green,-79.69,43.46
2380,Castle Heights,-75.64,45.43
2381,Castle Island,-114.34,53.7
2382,Castle Rock,-122.48,52.53
2383,Castlebar,-71.98,45.81
2384,Castledale,-116.52,51.02
2385,Castlederg,-79.76,43.91
2386,Castleford,-76.58,45.52
2387,Castlemore,-79.68,43.79
2388,Castlereagh,-63.77,45.49
2389,Castleridge,-113.95,51.1
2390,Castleton,-77.93,44.09
2391,Casummit Lake,-92.35,51.48
2392,Caswell Hill,-106.67,52.14
2393,Caswell's Beach,-79.75,44.74
2394,Cat Lake 63C,-91.82,51.72
2395,Catalone,-59.98,45.98
2396,Catalone Gut,-59.95,46.01
2397,Catamount,-64.98,46.16
2398,Cataract,-80.02,43.82
2399,Cataraqui,-76.54,44.25
2400,Catchacoma,-78.33,44.74
2401,Cathcart,-80.52,43.1
2402,Cathedral Bluffs,-106.52,52.24
2403,Caulfeild,-123.25,49.35
2404,Cavalier,-108.55,53.08
2405,Cavan,-78.46,44.2
2406,Cavan-Monaghan,-78.46,44.21
2407,Cavell,-108.58,52.26
2408,Caverlys Landing,-77.45,45.07
2409,Cavers,-87.69,48.9
2410,Cawood,-76.19,45.82
2411,Cayamant,-76.25,46.13
2412,Caycuse,-124.36,48.88
2413,Cayer,-99.13,51.3
2414,Cayilth 5,-127.44,50.33
2415,Cayoosh Creek 1,-121.93,50.66
2416,Cayuse 6,-127.46,50.38
2417,Cazaville,-74.37,45.08
2418,Cecebe,-79.54,45.64
2419,Cecil Lake,-120.58,56.3
2420,Cedar Bay,-79.17,42.87
2421,Cedar Beach,-79.67666667,44.08
2422,Cedar Camp,-65.33,45.7
2423,Cedar Creek,-77.76,44.1
2424,Cedar Dale,-78.84,43.87
2425,Cedar Glen,-78.63,44.49
2426,Cedar Grove,-119.45,50.13
2428,Cedar Harbour,-79.53,44.31
2429,Cedar Heights,-84.31,46.54
2430,Cedar Hill,-76.31,45.27
2431,Cedar Lake,-66.1,44.02
2433,Cedar Mills,-79.8,43.92
2434,Cedar Mount,-79.55,44.39
2435,Cedar Nook,-79.75,44.91
2436,Cedar Point,-81.085,43.97
2437,Cedar Shores,-78.91,44.13
2438,Cedar Springs,-80.975,42.845
2439,Cedar Springs Range,-82.02,42.26
2440,Cedar Valley,-79.30333333,43.99666667
2441,Cedar Villa Estates,-106.77,52.09
2442,Cedar Village,-79.38,45.05
2443,Cedarbrae,-114.13,50.96
2445,Cedarbrook,-74.16,45.4
2446,Cedardale,-123.13,49.33
2448,Cedarhurst Beach,-79.17,44.4
2449,Cedarhurst Park,-82.78,42.01
2450,Cedarmont Beach,-79.4,44.54
2451,Cedarside,-119.25,52.78
2452,Cedarvale,-128.32,55.01
2454,Cedarville,-80.22,44.01
2456,Cedoux,-103.86,49.88
2457,Celista,-119.35,50.95
2458,Centennial,-97.15,49.9
2460,Centennial Place,-64.81,46.08
2461,Central,-79.87,43.26
2462,Central Argyle,-65.84,43.76
2463,Central Blissville,-66.57,45.63
2464,Central Business District,-106.66,52.13
2465,Central Cambridge,-66.02,45.74
2466,Central Caribou,-62.72,45.71
2467,Central Chebogue,-66.08,43.78
2468,Central Clarence,-65.21,44.9
2469,Central Elgin,-81.11,42.78
2470,Central Frontenac,-76.83,44.71
2471,Central Greenwich,-66.11,45.51
2472,Central Grove,-66.26,44.34
2473,Central Hainesville,-67.09,46.11
2474,Central Huron,-81.52,43.67
2475,Central Kings,-62.49,46.32
2476,Central Kingsclear,-66.88,45.91
2477,Central Manitoulin,-82.23,45.68
2478,Central McDougall,-113.5,53.55
2479,Central New Annan,-63.31,45.63
2480,Central North River,-63.21,45.44
2481,Central Norton,-65.8,45.56
2482,Central Onslow,-63.32,45.37
2483,Central Park,-75.73,45.36
2484,Central Patricia,-90.16,51.48
2485,Central Tower Hill,-67.21,45.31
2486,Central Waterville,-67.29,46.07
2487,Central West River,-62.84,45.57
2488,Central Woods Harbour,-65.73,43.54
2489,Centrale Adam-Cunningham,-71.17,48.65
2490,Centrale aux Outardes-2,-68.39,49.14
2491,Centrale aux Outardes-3,-68.72,49.55
2492,Centrale aux Outardes-4,-68.9,49.7
2493,Centrale Beaumont,-72.83,47.55
2494,Centrale Bersimis-1,-69.55,49.29
2495,Centrale Bersimis-2,-69.22,49.17
2496,Centrale Bird-1,-71.71,46.74
2497,Centrale Bird-2,-71.71,46.74
2498,Centrale Brisay,-70.51,54.45
2499,Centrale Daniel-Larocque,-75.49,46.55
2500,Centrale d'Arthurville,-70.75,46.82
2501,Centrale de Beauharnois,-73.91,45.31
2502,Centrale de Bryson,-76.63,45.66
2503,Centrale de Carillon,-74.38,45.56
2504,Centrale de Chelsea,-75.77,45.52
2505,Centrale de Chicoutimi,-71.07,48.42
2506,Centrale de Chute-à-Caron,-71.25,48.45
2507,Centrale de Donnacona,-71.74,46.67
2508,Centrale de Grand-Mère,-72.67,46.61
2509,Centrale de High Falls,-75.64,45.83
2510,Centrale de la Chute-à-la-Savane,-71.83,48.75
2511,Centrale de la Chute-aux-Galets,-71.2,48.65
2512,Centrale de la Chute-Bell,-74.68,45.77
2513,Centrale de la Chute-Burroughs,-72.01,45.15
2514,Centrale de la Chute-des-Chats,-76.23,45.47
2515,Centrale de la Chute-des-Passes,-71.16,49.84
2516,Centrale de la Chute-du-Diable,-71.69,48.78
2517,Centrale de la Chute-Garneau,-71.13,48.38
2518,Centrale de la Chute-Hemmings,-72.45,45.86
2519,Centrale de La Gabelle,-72.73,46.44
2520,Centrale de la Hart-Jaune,-67.91,51.78
2521,Centrale de la Mitis-1,-68.13,48.6
2522,Centrale de la Mitis-2,-68.13,48.62
2523,Centrale de la Paton,-71.89,45.4
2524,Centrale de la Première-Chute,-79.45,47.6
2525,Centrale de la Rivière-des-Prairies,-73.65,45.58
2526,Centrale de la Sainte-Marguerite-3,-66.77,50.7
2527,Centrale de la Toulnustouc,-68.15,49.97
2528,Centrale de la Trenche,-72.88,47.75
2529,Centrale de La Tuque,-72.79,47.44
2530,Centrale de L'Anse-Saint-Jean,-70.28,48.2
2531,Centrale de l'Eastmain-1,-76.05,52.18
2532,Centrale de L'Isle-Maligne,-71.63,48.57
2533,Centrale de Magpie,-64.45,50.32
2534,Centrale de Masson,-75.42,45.56
2535,Centrale de Paugan,-75.92,45.81
2536,Centrale de Pont-Arnaud,-71.12,48.41
2537,Centrale de Rapide-2,-78.57,47.93
2538,Centrale de Rapide-7,-78.31,47.76
2539,Centrale de Rapide-Blanc,-72.97,47.79
2540,Centrale de Rawdon,-73.73,46.04
2541,Centrale de Rivière-du-Loup,-69.53,47.83
2542,Centrale de Saint-Alban,-72.07,46.71
2543,Centrale de Sainte-Brigitte-des-Saults,-72.48,46.02
2544,Centrale de Saint-Narcisse,-72.41,46.55
2545,Centrale de Saint-Raphaël,-70.74,46.79
2546,Centrale de Shawinigan-2,-72.76,46.53
2547,Centrale de Shawinigan-3,-72.76,46.53
2548,Centrale de Shipshaw,-71.21,48.44
2549,Centrale de Tracy,-73.17,45.99
